province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
An Giang,Đồng bằng sông Cửu Long,2025-07-21,27.244444444444444,30.522222222222222,24.844444444444445,30.900000000000002,33.94444444444444,27.533333333333335,10.344444444444443,10.344444444444443,0.0,16.666666666666668,84.44444444444444,28.67777777777778,59.24444444444445,16.38,1006.4444444444445,100.0,24.244444444444444,0.0,3.632222222222222,10.267,105.1034,6.597777777777778,12.636666666666667,7,30,61,244,1970-01-21 06:57:56.773333333,1970-01-21 06:58:42.280000000,Hè,,,
An Giang,Đồng bằng sông Cửu Long,2025-07-22,29.0,31.511111111111113,27.133333333333333,32.36666666666667,34.48888888888889,30.799999999999997,0.5111111111111111,0.5111111111111111,0.0,2.6666666666666665,75.11111111111111,30.54444444444444,61.24444444444445,23.02111111111111,1005.4777777777776,99.88888888888889,24.066666666666666,0.0,5.488888888888889,10.267,105.1034,11.693333333333333,12.63,7,30,51,240,1970-01-21 06:59:23.206666666,1970-01-21 07:00:08.666666666,Hè,,,
An Giang,Đồng bằng sông Cửu Long,2025-07-23,28.38888888888889,31.233333333333334,24.955555555555556,32.7,35.68888888888889,28.966666666666665,4.366666666666666,4.366666666666666,0.0,10.444444444444445,80.0,23.344444444444445,50.68888888888889,20.711111111111112,1005.1999999999999,93.0,24.48888888888889,0.0,4.638888888888889,10.267,105.1034,11.600000000000001,12.626666666666667,7,30,61,244,1970-01-21 07:00:49.613333333,1970-01-21 07:01:35.053333333,Hè,,,
An Giang,Đồng bằng sông Cửu Long,2025-07-24,28.977777777777778,31.877777777777776,26.87777777777778,33.400000000000006,36.3,31.54444444444444,0.022222222222222223,0.022222222222222223,0.0,0.2222222222222222,76.77777777777777,22.255555555555556,43.333333333333336,23.18777777777778,1006.2888888888889,89.77777777777777,24.299999999999997,0.0,5.263333333333334,10.267,105.1034,11.004444444444443,12.62,7,30,3,252,1970-01-21 07:02:16.020000000,1970-01-21 07:03:01.453333333,Hè,,,
An Giang,Đồng bằng sông Cửu Long,2025-07-25,28.91111111111111,32.111111111111114,26.08888888888889,33.333333333333336,36.888888888888886,31.244444444444444,0.30000000000000004,0.30000000000000004,0.0,1.8888888888888888,77.66666666666667,22.455555555555556,45.12222222222223,23.25222222222222,1006.6333333333334,89.11111111111111,24.4,0.0,5.261111111111111,10.267,105.1034,12.0,12.612222222222222,7,30,51,257,1970-01-21 07:03:42.433333333,1970-01-21 07:04:27.853333333,Hè,,,
An Giang,Đồng bằng sông Cửu Long,2025-07-26,29.077777777777776,31.133333333333333,27.58888888888889,33.333333333333336,35.12222222222223,32.24444444444444,0.911111111111111,0.911111111111111,0.0,3.5555555555555554,78.0,24.244444444444444,50.5,17.506666666666668,1007.2444444444445,99.0,24.799999999999997,0.0,4.311111111111111,10.267,105.1034,9.036666666666667,12.608888888888888,7,30,51,247,1970-01-21 07:05:08.833333333,1970-01-21 07:05:54.226666666,Hè,,,
An Giang,Đồng bằng sông Cửu Long,2025-07-27,27.644444444444446,29.811111111111114,25.544444444444444,31.733333333333334,34.17777777777778,30.04444444444444,8.899999999999999,8.899999999999999,0.0,10.666666666666666,83.11111111111111,23.966666666666665,49.52222222222222,15.416666666666666,1007.4555555555556,98.55555555555556,24.48888888888889,0.0,3.48,10.267,105.1034,7.695555555555556,12.601111111111111,7,30,63,238,1970-01-21 07:06:35.266666666,1970-01-21 07:07:20.620000000,Hè,,,
An Giang,Đồng bằng sông Cửu Long,2025-07-28,26.666666666666668,28.700000000000003,25.133333333333333,31.033333333333335,32.455555555555556,29.27777777777778,11.722222222222221,11.722222222222221,0.0,11.666666666666666,88.88888888888889,23.533333333333335,45.355555555555554,9.311111111111112,1007.0666666666667,96.11111111111111,24.677777777777777,0.0,2.101111111111111,10.267,105.1034,1.927777777777778,12.596666666666668,7,31,63,239,1970-01-21 07:08:01.673333333,1970-01-21 07:08:47.000000000,Hè,,,
An Giang,Đồng bằng sông Cửu Long,2025-07-29,28.299999999999997,30.65555555555555,26.62222222222222,32.44444444444444,34.31111111111111,30.93333333333333,5.655555555555555,5.655555555555555,0.0,10.444444444444445,81.77777777777777,27.855555555555554,53.644444444444446,19.10222222222222,1006.7555555555555,79.22222222222223,24.822222222222223,0.0,4.198888888888889,10.267,105.1034,11.856666666666666,12.59,7,31,55,236,1970-01-21 07:09:28.073333333,1970-01-21 07:10:13.393333333,Hè,,,
An Giang,Đồng bằng sông Cửu Long,2025-07-30,28.61111111111111,31.533333333333335,26.066666666666666,32.87777777777777,35.82222222222222,30.45555555555556,1.9555555555555557,1.9555555555555557,0.0,4.888888888888889,79.44444444444444,25.188888888888886,49.65555555555555,21.605555555555554,1007.7777777777778,83.77777777777777,24.5,0.0,4.833333333333333,10.267,105.1034,11.314444444444444,12.581111111111111,7,31,51,240,1970-01-21 07:10:54.480000000,1970-01-21 07:11:39.780000000,Hè,,,
An Giang,Đồng bằng sông Cửu Long,2025-07-31,28.41111111111111,30.766666666666666,25.344444444444445,32.900000000000006,35.68888888888889,29.311111111111114,5.888888888888889,5.888888888888889,0.0,9.222222222222221,80.88888888888889,22.6,48.8,19.124444444444446,1007.7222222222222,87.11111111111111,24.733333333333334,0.0,4.267777777777777,10.267,105.1034,11.078888888888889,12.576666666666666,7,31,63,238,1970-01-21 07:12:20.886666666,1970-01-21 07:13:06.160000000,Hè,,,
An Giang,Đồng bằng sông Cửu Long,2025-08-01,28.533333333333335,31.5,26.72222222222222,33.28888888888889,36.8,31.78888888888889,2.2333333333333334,2.2333333333333334,0.0,6.333333333333333,81.44444444444444,23.322222222222223,46.166666666666664,20.417777777777776,1007.0777777777779,92.88888888888889,24.977777777777774,0.0,4.4366666666666665,10.267,105.1034,11.813333333333333,12.57,8,31,53,233,1970-01-21 07:13:47.293333333,1970-01-21 07:14:32.540000000,Hè,,,
