province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Bắc Ninh,Đồng bằng sông Hồng,2025-07-21,27.619999999999997,30.380000000000003,26.4,32.54,36.0,29.24,48.96,48.96,0.0,18.2,90.4,27.76,55.08,4.536,993.32,100.0,25.82,0.0,1.468,21.2017,106.1543,0.0,13.232,7,30,65,281,1970-01-21 06:57:55.452,1970-01-21 06:58:43.104,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-07-22,27.8,31.1,26.119999999999997,30.24,34.660000000000004,27.380000000000003,27.78,27.78,0.0,19.6,83.0,36.160000000000004,68.12,16.374000000000002,991.1200000000001,100.0,24.54,0.0,4.037999999999999,21.2017,106.1543,7.776000000000001,13.220000000000002,7,30,65,39,1970-01-21 06:59:21.888,1970-01-21 07:00:09.480,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-07-23,27.74,30.9,24.919999999999998,32.620000000000005,37.12,29.02,9.680000000000001,9.680000000000001,0.0,13.8,83.8,18.3,36.720000000000006,19.69,998.04,98.4,24.68,0.0,4.186,21.2017,106.1543,10.738,13.209999999999999,7,30,63,104,1970-01-21 07:00:48.300,1970-01-21 07:01:35.868,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-07-24,27.380000000000003,30.9,25.02,33.339999999999996,37.480000000000004,30.139999999999997,11.98,11.98,0.0,14.0,88.4,12.74,28.5,15.312000000000001,1001.1,100.0,25.240000000000002,0.0,3.1879999999999997,21.2017,106.1543,7.336,13.2,7,30,63,86,1970-01-21 07:02:14.736,1970-01-21 07:03:02.244,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-07-25,27.439999999999998,31.26,25.18,34.06,39.5,30.82,14.780000000000001,14.780000000000001,0.0,19.0,90.4,11.059999999999999,23.04,15.148,1001.36,99.4,25.639999999999997,0.0,3.19,21.2017,106.1543,6.332,13.187999999999999,7,30,61,9,1970-01-21 07:03:41.160,1970-01-21 07:04:28.620,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-07-26,28.18,32.68,25.34,35.08,41.32,31.76,14.2,14.2,0.0,9.0,86.6,11.540000000000001,26.5,23.028,1001.0799999999999,61.2,25.52,0.0,4.811999999999999,21.2017,106.1543,10.768,13.169999999999998,7,30,65,78,1970-01-21 07:05:07.572,1970-01-21 07:05:55.008,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-07-27,28.880000000000003,33.46,25.2,35.38,40.82000000000001,31.48,0.8,0.8,0.0,2.8,83.0,13.8,26.22,23.97,1000.46,67.2,25.4,0.0,5.164,21.2017,106.1543,12.075999999999999,13.16,7,30,51,140,1970-01-21 07:06:34.008,1970-01-21 07:07:21.372,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-07-28,29.46,33.72,25.28,36.660000000000004,43.06,31.54,0.9799999999999999,0.9799999999999999,0.0,2.2,83.4,11.940000000000001,21.380000000000003,24.542,998.8799999999999,46.8,26.18,0.0,5.322,21.2017,106.1543,11.988,13.148000000000001,7,31,51,142,1970-01-21 07:08:00.420,1970-01-21 07:08:47.748,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-07-29,30.9,35.160000000000004,26.580000000000002,38.2,43.720000000000006,33.3,0.0,0.0,0.0,0.0,79.6,11.2,19.8,23.344,997.1600000000001,85.2,26.68,0.0,5.316000000000001,21.2017,106.1543,11.812000000000001,13.13,7,31,3,144,1970-01-21 07:09:26.844,1970-01-21 07:10:14.124,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-07-30,31.439999999999998,35.82,27.52,38.94,45.059999999999995,34.22,5.140000000000001,5.140000000000001,0.0,1.4,77.6,10.9,21.18,22.878,996.9,98.4,26.839999999999996,0.0,5.238,21.2017,106.1543,11.836,13.12,7,31,63,110,1970-01-21 07:10:53.268,1970-01-21 07:11:40.500,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-07-31,29.48,33.22,26.68,36.660000000000004,41.5,32.46,15.98,15.98,0.0,9.2,85.4,14.280000000000001,27.359999999999996,17.474,997.36,98.8,26.660000000000004,0.0,3.8299999999999996,21.2017,106.1543,7.895999999999999,13.1,7,31,63,97,1970-01-21 07:12:19.692,1970-01-21 07:13:06.864,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-01,27.98,31.48,25.7,34.4,39.44,31.3,9.72,9.72,0.0,12.0,87.8,13.2,34.92,20.048,998.74,83.8,25.580000000000002,0.0,4.112,21.2017,106.1543,10.754,13.09,8,31,63,2,1970-01-21 07:13:46.116,1970-01-21 07:14:33.240,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-02,29.860000000000003,34.339999999999996,25.5,36.96,42.839999999999996,31.54,0.48,0.48,0.0,1.8,83.2,13.540000000000001,24.380000000000003,24.648000000000003,1000.28,85.8,26.48,0.0,5.446,21.2017,106.1543,12.014,13.069999999999999,8,31,51,180,1970-01-21 07:15:12.540,1970-01-21 07:15:59.604,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-03,31.5,35.78,27.360000000000003,38.28,43.08,34.339999999999996,0.04,0.04,0.0,0.4,76.6,14.24,28.860000000000003,23.857999999999997,999.5600000000001,93.2,26.619999999999997,0.0,5.694,21.2017,106.1543,11.99,13.059999999999999,8,31,3,174,1970-01-21 07:16:38.952,1970-01-21 07:17:25.980,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-04,31.860000000000003,36.22,28.160000000000004,37.96,43.46,33.3,0.1,0.1,0.0,0.6,71.0,14.52,27.919999999999998,23.532,999.3,99.8,25.74,0.0,5.86,21.2017,106.1543,11.0,13.040000000000001,8,32,51,172,1970-01-21 07:18:05.388,1970-01-21 07:18:52.332,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-05,29.3,34.12,27.560000000000002,36.56,41.38,34.44,26.98,26.98,0.0,9.2,86.4,9.76,25.7,12.144,1001.2,100.0,26.72,0.0,2.722,21.2017,106.1543,3.322,13.029999999999998,8,32,65,2,1970-01-21 07:19:31.800,1970-01-21 07:20:18.708,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-06,27.839999999999996,30.4,26.339999999999996,34.480000000000004,37.12,32.6,15.780000000000001,15.780000000000001,0.0,15.4,91.4,10.6,24.119999999999997,7.556,1003.0600000000001,100.0,26.24,0.0,1.7399999999999998,21.2017,106.1543,0.942,13.01,8,32,63,130,1970-01-21 07:20:58.224,1970-01-21 07:21:45.060,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-07,28.660000000000004,31.619999999999997,25.9,34.67999999999999,37.6,31.82,3.6399999999999997,3.6399999999999997,0.0,5.8,85.4,13.040000000000001,22.96,12.614,1005.3,96.0,25.839999999999996,0.0,2.984,21.2017,106.1543,2.6580000000000004,13.0,8,32,61,133,1970-01-21 07:22:24.648,1970-01-21 07:23:11.436,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-08,30.2,33.88,26.78,36.4,41.1,32.86,2.7199999999999998,2.7199999999999998,0.0,5.0,80.2,16.080000000000002,31.240000000000002,22.048000000000002,1005.64,54.8,26.24,0.0,5.072,21.2017,106.1543,12.0,12.98,8,32,51,153,1970-01-21 07:23:51.060,1970-01-21 07:24:37.800,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-09,31.060000000000002,35.08,27.46,37.160000000000004,41.82000000000001,33.46,0.12,0.12,0.0,0.6,75.6,15.14,27.24,23.938,1004.4799999999999,70.0,26.0,0.0,5.716,21.2017,106.1543,12.0,12.959999999999999,8,32,51,154,1970-01-21 07:25:17.496,1970-01-21 07:26:04.152,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-10,30.4,33.56,27.860000000000003,37.1,41.36,34.0,3.28,3.28,0.0,7.4,82.2,15.7,28.860000000000003,22.306,1004.2,91.0,26.98,0.0,4.9959999999999996,21.2017,106.1543,12.0,12.95,8,32,55,132,1970-01-21 07:26:43.920,1970-01-21 07:27:30.528,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-11,29.860000000000003,33.62,26.1,36.1,41.44,31.72,3.56,3.56,0.0,9.0,81.6,15.540000000000001,30.6,22.913999999999998,1004.24,95.0,26.22,0.0,5.136,21.2017,106.1543,11.902000000000001,12.930000000000001,8,33,53,133,1970-01-21 07:28:10.320,1970-01-21 07:28:56.880,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-12,29.580000000000002,32.94,26.560000000000002,36.12,40.46,32.620000000000005,2.56,2.56,0.0,8.0,82.6,13.839999999999998,29.660000000000004,22.894,1004.96,94.6,26.160000000000004,0.0,4.904,21.2017,106.1543,12.0,12.91,8,33,53,150,1970-01-21 07:29:36.756,1970-01-21 07:30:23.232,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-13,29.2,33.12,25.74,36.019999999999996,41.3,31.839999999999996,1.24,1.24,0.0,2.4,82.4,9.42,19.22,21.972,1005.9,95.4,25.68,0.0,4.654,21.2017,106.1543,11.726,12.898000000000001,8,33,55,164,1970-01-21 07:31:03.180,1970-01-21 07:31:49.608,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-14,29.419999999999998,32.38,26.5,36.7,40.980000000000004,33.44,3.4,3.4,0.0,7.6,85.2,9.540000000000001,19.16,20.104000000000003,1003.96,98.2,26.580000000000002,0.0,4.273999999999999,21.2017,106.1543,11.937999999999999,12.88,8,33,55,120,1970-01-21 07:32:29.580,1970-01-21 07:33:15.960,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-15,26.48,29.28,24.3,31.560000000000002,35.14,28.560000000000002,16.619999999999997,16.619999999999997,0.0,17.6,89.2,14.52,28.24,12.2,1004.8799999999999,95.4,24.5,0.0,2.5799999999999996,21.2017,106.1543,3.692,12.86,8,33,63,85,1970-01-21 07:33:56.016,1970-01-21 07:34:42.300,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-16,25.74,29.52,23.48,31.1,36.82,27.82,20.080000000000002,20.080000000000002,0.0,16.6,90.2,11.16,25.7,14.797999999999998,1007.5200000000001,95.8,23.98,0.0,3.024,21.2017,106.1543,6.612,12.841999999999999,8,33,63,4,1970-01-21 07:35:22.440,1970-01-21 07:36:08.676,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-17,26.76,31.919999999999998,24.1,31.839999999999996,37.62,28.2,9.72,9.72,0.0,7.4,86.8,16.6,39.339999999999996,17.34,1007.54,96.2,24.2,0.0,3.632,21.2017,106.1543,7.082000000000001,12.828,8,33,63,5,1970-01-21 07:36:48.840,1970-01-21 07:37:35.040,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-18,26.22,29.139999999999997,24.04,30.96,33.760000000000005,27.619999999999997,16.04,16.04,0.0,13.0,89.2,17.279999999999998,35.44,10.553999999999998,1005.8799999999999,99.2,24.22,0.0,2.294,21.2017,106.1543,3.344,12.809999999999999,8,34,65,340,1970-01-21 07:38:15.276,1970-01-21 07:39:01.380,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-19,26.24,28.839999999999996,24.54,31.24,33.94,29.060000000000002,16.64,16.64,0.0,16.8,91.2,13.580000000000002,25.7,8.416,1005.5600000000001,100.0,24.64,0.0,1.8399999999999999,21.2017,106.1543,1.024,12.79,8,34,61,227,1970-01-21 07:39:41.700,1970-01-21 07:40:27.720,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-20,28.4,31.880000000000003,25.639999999999997,33.7,37.7,30.639999999999997,7.88,7.88,0.0,9.6,84.2,18.8,35.2,17.322,1006.3,99.8,25.36,0.0,3.8659999999999997,21.2017,106.1543,7.297999999999999,12.772,8,34,51,153,1970-01-21 07:41:08.100,1970-01-21 07:41:54.096,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-21,27.3,29.860000000000003,24.84,32.9,35.660000000000004,29.919999999999998,33.7,33.7,0.0,12.4,90.2,17.119999999999997,32.480000000000004,9.348,1007.8799999999999,100.0,25.56,0.0,2.092,21.2017,106.1543,0.49400000000000005,12.751999999999999,8,34,65,146,1970-01-21 07:42:34.524,1970-01-21 07:43:20.448,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-22,28.619999999999997,31.860000000000003,26.639999999999997,33.72,37.4,31.839999999999996,1.6199999999999999,1.6199999999999999,0.0,4.8,82.8,17.259999999999998,33.48,17.924,1007.6600000000001,98.4,25.2,0.0,4.048,21.2017,106.1543,8.922,12.738,8,34,51,155,1970-01-21 07:44:00.948,1970-01-21 07:44:46.800,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-23,27.860000000000003,30.839999999999996,25.3,34.06,38.28,30.419999999999998,4.0600000000000005,4.0600000000000005,0.0,12.4,85.6,11.7,27.419999999999998,20.334,1007.74,90.6,25.18,0.0,4.151999999999999,21.2017,106.1543,11.136,12.718,8,34,51,143,1970-01-21 07:45:27.360,1970-01-21 07:46:13.140,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-24,27.380000000000003,32.36,24.979999999999997,33.14,39.22,30.18,16.82,16.82,0.0,7.6,88.0,14.559999999999999,38.160000000000004,17.338,1006.72,64.4,25.080000000000002,0.0,3.626,21.2017,106.1543,7.3420000000000005,12.7,8,34,65,351,1970-01-21 07:46:53.760,1970-01-21 07:47:39.480,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-25,25.7,27.24,24.240000000000002,28.639999999999997,30.48,26.78,27.46,27.46,0.0,18.8,88.0,24.34,48.88,5.748,1005.0,98.6,23.520000000000003,0.0,1.7240000000000002,21.2017,106.1543,0.0,12.68,8,35,63,24,1970-01-21 07:48:20.196,1970-01-21 07:49:05.844,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-26,25.080000000000002,27.26,23.72,29.1,31.860000000000003,26.28,43.94,43.94,0.0,22.4,93.6,20.72,42.04,6.944,1007.18,100.0,23.96,0.0,1.482,21.2017,106.1543,0.676,12.662,8,35,63,74,1970-01-21 07:49:46.620,1970-01-21 07:50:32.196,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-27,25.46,28.48,23.5,31.119999999999997,35.379999999999995,28.339999999999996,21.080000000000002,21.080000000000002,0.0,16.2,93.4,8.459999999999999,19.380000000000003,10.946,1007.86,94.8,24.28,0.0,2.248,21.2017,106.1543,2.998,12.642,8,35,63,34,1970-01-21 07:51:13.020,1970-01-21 07:51:58.548,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-28,26.660000000000004,30.880000000000003,23.8,33.0,38.980000000000004,29.080000000000002,8.28,8.28,0.0,9.4,90.2,11.4,27.160000000000004,20.003999999999998,1007.4399999999999,56.0,24.8,0.0,4.05,21.2017,106.1543,10.72,12.622,8,35,63,6,1970-01-21 07:52:39.444,1970-01-21 07:53:24.900,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-29,26.72,30.78,23.759999999999998,31.78,37.12,27.82,10.82,10.82,0.0,11.4,87.0,14.62,30.660000000000004,17.95,1008.28,81.2,24.28,0.0,3.678,21.2017,106.1543,8.97,12.602,8,35,63,2,1970-01-21 07:54:05.868,1970-01-21 07:54:51.240,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-30,26.76,30.18,24.759999999999998,31.139999999999997,34.34,28.6,13.38,13.38,0.0,13.2,86.4,19.56,42.9,12.675999999999998,1007.68,96.8,24.240000000000002,0.0,2.826,21.2017,106.1543,6.32,12.581999999999999,8,35,63,11,1970-01-21 07:55:32.280,1970-01-21 07:56:17.580,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-08-31,26.160000000000004,30.28,24.04,31.98,36.92,28.7,18.36,18.36,0.0,14.4,91.2,10.8,25.4,13.485999999999999,1008.0200000000001,95.0,24.56,0.0,2.734,21.2017,106.1543,5.206,12.568000000000001,8,35,63,12,1970-01-21 07:56:58.680,1970-01-21 07:57:43.920,Hè,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-09-01,26.72,30.580000000000002,23.9,32.82,38.0,29.04,10.28,10.28,0.0,13.4,89.8,9.68,23.32,17.28,1006.9799999999999,96.2,24.8,0.0,3.5519999999999996,21.2017,106.1543,8.048,12.548,9,36,63,109,1970-01-21 07:58:25.116,1970-01-21 07:59:10.260,Thu,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-09-02,27.68,31.26,24.759999999999998,34.040000000000006,39.6,30.5,2.0,2.0,0.0,8.4,86.8,14.040000000000001,26.72,21.122,1006.72,77.4,25.2,0.0,4.382,21.2017,106.1543,11.98,12.528,9,36,51,123,1970-01-21 07:59:51.540,1970-01-21 08:00:36.612,Thu,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-09-03,28.52,32.18,25.34,34.540000000000006,38.760000000000005,31.46,0.9800000000000001,0.9800000000000001,0.0,7.2,82.8,12.540000000000001,24.26,22.186,1006.8799999999999,38.4,25.14,0.0,4.758,21.2017,106.1543,12.0,12.508,9,36,51,154,1970-01-21 08:01:17.940,1970-01-21 08:02:02.976,Thu,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-09-04,28.78,32.56,25.34,34.9,39.72,31.1,0.6799999999999999,0.6799999999999999,0.0,4.2,82.8,11.620000000000001,23.16,22.456,1006.54,14.8,25.419999999999998,0.0,4.851999999999999,21.2017,106.1543,12.0,12.488,9,36,51,150,1970-01-21 08:02:44.340,1970-01-21 08:03:29.316,Thu,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-09-05,29.2,32.88,25.52,35.32,39.86,31.5,0.5,0.5,0.0,3.6,81.0,12.32,22.259999999999998,22.338,1006.78,66.6,25.36,0.0,4.91,21.2017,106.1543,12.0,12.47,9,36,51,151,1970-01-21 08:04:10.776,1970-01-21 08:04:55.680,Thu,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-09-06,28.939999999999998,32.32000000000001,25.919999999999998,35.58,41.3,32.22,1.26,1.26,0.0,7.2,82.6,9.34,18.919999999999998,19.624000000000002,1007.54,72.2,25.56,0.0,4.2700000000000005,21.2017,106.1543,11.124,12.45,9,36,51,122,1970-01-21 08:05:37.200,1970-01-21 08:06:22.020,Thu,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-09-07,29.339999999999996,33.22,25.44,35.64,40.6,31.840000000000003,0.22000000000000003,0.22000000000000003,0.0,1.0,76.8,8.040000000000001,18.2,22.816000000000003,1005.9,48.8,24.5,0.0,4.892,21.2017,106.1543,12.0,12.43,9,36,3,77,1970-01-21 08:07:03.600,1970-01-21 08:07:48.360,Thu,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-09-08,29.839999999999996,33.739999999999995,25.880000000000003,36.1,41.42,31.439999999999998,0.18,0.18,0.0,1.6,76.6,13.86,23.68,22.125999999999998,1004.6600000000001,84.8,25.080000000000002,0.0,4.952,21.2017,106.1543,11.838,12.41,9,37,51,138,1970-01-21 08:08:30.000,1970-01-21 08:09:14.700,Thu,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-09-09,28.060000000000002,31.46,25.98,34.660000000000004,39.160000000000004,32.06,7.1,7.1,0.0,9.6,87.8,11.9,24.7,11.190000000000001,1006.0799999999999,96.4,25.839999999999996,0.0,2.508,21.2017,106.1543,3.048,12.39,9,37,63,90,1970-01-21 08:09:56.436,1970-01-21 08:10:41.040,Thu,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-09-10,27.78,31.2,25.04,34.24,38.38,30.52,10.6,10.6,0.0,14.2,89.4,9.58,21.880000000000003,17.026,1007.5200000000001,98.4,25.78,0.0,3.5100000000000002,21.2017,106.1543,9.812000000000001,12.37,9,37,63,107,1970-01-21 08:11:22.860,1970-01-21 08:12:07.380,Thu,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-09-11,27.080000000000002,30.439999999999998,24.54,32.68,36.32,29.54,28.78,28.78,0.0,18.6,89.6,13.12,28.560000000000002,13.558000000000002,1008.5600000000001,96.4,25.14,0.0,2.842,21.2017,106.1543,7.232000000000001,12.35,9,37,65,124,1970-01-21 08:12:49.260,1970-01-21 08:13:33.720,Thu,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-09-12,27.060000000000002,31.28,24.44,32.660000000000004,38.839999999999996,29.3,11.5,11.5,0.0,13.6,89.4,17.28,32.38,19.802,1009.5,75.6,25.02,0.0,3.9240000000000004,21.2017,106.1543,10.844,12.33,9,37,63,146,1970-01-21 08:14:15.660,1970-01-21 08:15:00.060,Thu,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-09-13,28.160000000000004,32.16,24.72,33.86,38.4,30.32,1.04,1.04,0.0,4.6,82.0,12.22,24.119999999999997,21.584,1009.9399999999999,85.4,24.6,0.0,4.608,21.2017,106.1543,11.934000000000001,12.31,9,37,53,138,1970-01-21 08:15:42.096,1970-01-21 08:16:26.400,Thu,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-09-14,27.68,31.080000000000002,24.740000000000002,33.6,38.779999999999994,30.18,2.94,2.94,0.0,8.0,85.6,11.139999999999999,24.119999999999997,19.612000000000002,1009.9200000000001,87.6,24.94,0.0,4.052,21.2017,106.1543,10.886,12.29,9,37,53,133,1970-01-21 08:17:08.520,1970-01-21 08:17:52.740,Thu,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-09-15,27.119999999999997,30.24,24.48,32.54,37.019999999999996,29.560000000000002,11.7,11.7,0.0,11.0,85.8,13.88,29.96,17.264000000000003,1010.3799999999999,88.6,24.46,0.0,3.5519999999999996,21.2017,106.1543,10.516,12.27,9,38,63,122,1970-01-21 08:18:34.920,1970-01-21 08:19:19.080,Thu,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-09-16,27.7,31.6,23.98,33.44,38.68,29.139999999999997,6.74,6.74,0.0,7.6,82.0,10.7,19.220000000000002,21.169999999999998,1010.2,57.4,24.119999999999997,0.0,4.465999999999999,21.2017,106.1543,11.8,12.25,9,38,63,124,1970-01-21 08:20:01.320,1970-01-21 08:20:45.420,Thu,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-09-17,26.9,31.22,24.54,32.760000000000005,38.1,29.419999999999998,13.940000000000001,13.940000000000001,0.0,12.2,87.2,14.139999999999997,33.68,16.256,1008.96,81.0,24.48,0.0,3.346,21.2017,106.1543,6.798,12.23,9,38,63,44,1970-01-21 08:21:27.756,1970-01-21 08:22:11.760,Thu,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-09-18,26.380000000000003,29.860000000000003,23.86,32.28,36.4,28.74,15.580000000000002,15.580000000000002,0.0,13.2,90.4,10.059999999999999,26.78,14.203999999999999,1008.86,97.6,24.54,0.0,2.874,21.2017,106.1543,6.9799999999999995,12.21,9,38,65,6,1970-01-21 08:22:54.180,1970-01-21 08:23:38.100,Thu,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-09-19,27.72,31.72,24.2,33.78,39.38,29.28,6.459999999999999,6.459999999999999,0.0,9.6,84.6,10.84,23.56,20.753999999999998,1008.4399999999999,65.6,24.740000000000002,0.0,4.35,21.2017,106.1543,11.244,12.19,9,38,63,133,1970-01-21 08:24:20.580,1970-01-21 08:25:04.452,Thu,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-09-20,29.26,33.260000000000005,25.04,35.44,40.58,30.7,0.02,0.02,0.0,0.2,77.4,10.620000000000001,18.16,21.848,1006.5799999999999,41.8,24.54,0.0,4.774,21.2017,106.1543,11.722,12.17,9,38,3,137,1970-01-21 08:25:46.980,1970-01-21 08:26:30.792,Thu,,,
