province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Cần Thơ,Đồng bằng sông Cửu Long,2025-07-21,27.619999999999997,32.06,24.56,31.7,35.86,28.5,2.46,2.46,0.0,7.4,81.6,28.72,58.379999999999995,20.318,1006.54,100.0,23.94,0.0,4.5600000000000005,9.8019,105.7894,8.618,12.61,7,30,51,247,1970-01-21 06:57:56.652,1970-01-21 06:58:42.072,Hè,,,
Cần Thơ,Đồng bằng sông Cửu Long,2025-07-22,28.419999999999998,32.019999999999996,25.880000000000003,32.32,35.46,30.32,0.14,0.14,0.0,1.2,78.2,27.380000000000003,53.06,23.498,1005.74,97.8,24.02,0.0,5.252,9.8019,105.7894,11.620000000000001,12.61,7,30,51,239,1970-01-21 06:59:23.088,1970-01-21 07:00:08.460,Hè,,,
Cần Thơ,Đồng bằng sông Cửu Long,2025-07-23,28.5,32.08,25.7,32.980000000000004,36.44,30.419999999999998,1.18,1.18,0.0,4.8,78.6,21.84,45.86,22.792,1005.3,91.8,24.259999999999998,0.0,5.034000000000001,9.8019,105.7894,12.0,12.6,7,30,51,239,1970-01-21 07:00:49.500,1970-01-21 07:01:34.860,Hè,,,
Cần Thơ,Đồng bằng sông Cửu Long,2025-07-24,28.339999999999996,32.1,25.76,32.9,36.68,30.78,0.6,0.6,0.0,2.2,79.2,20.34,39.8,21.918,1006.4,92.6,24.160000000000004,0.0,4.862,9.8019,105.7894,10.784,12.6,7,30,51,255,1970-01-21 07:02:15.900,1970-01-21 07:03:01.260,Hè,,,
Cần Thơ,Đồng bằng sông Cửu Long,2025-07-25,28.360000000000003,32.08,25.119999999999997,32.86,37.019999999999996,29.9,0.5,0.5,0.0,3.0,78.8,21.6,44.8,23.204,1006.72,82.2,24.16,0.0,5.138,9.8019,105.7894,12.0,12.59,7,30,51,260,1970-01-21 07:03:42.312,1970-01-21 07:04:27.648,Hè,,,
Cần Thơ,Đồng bằng sông Cửu Long,2025-07-26,28.54,31.5,26.4,33.120000000000005,36.7,30.839999999999996,3.4799999999999995,3.4799999999999995,0.0,4.6,79.4,20.740000000000002,47.8,18.682,1007.32,91.4,24.580000000000002,0.0,4.296,9.8019,105.7894,10.27,12.58,7,30,51,250,1970-01-21 07:05:08.712,1970-01-21 07:05:54.012,Hè,,,
Cần Thơ,Đồng bằng sông Cửu Long,2025-07-27,26.96,30.32,25.160000000000004,31.72,35.160000000000004,29.52,9.559999999999999,9.559999999999999,0.0,10.8,88.0,20.36,45.08,15.062000000000001,1007.6800000000001,99.4,24.68,0.0,3.122,9.8019,105.7894,6.4719999999999995,12.58,7,30,63,238,1970-01-21 07:06:35.136,1970-01-21 07:07:20.412,Hè,,,
Cần Thơ,Đồng bằng sông Cửu Long,2025-07-28,26.82,29.74,24.240000000000002,31.660000000000004,34.56,27.68,11.440000000000001,11.440000000000001,0.0,11.0,88.0,18.22,42.480000000000004,14.238,1007.22,91.0,24.64,0.0,2.924,9.8019,105.7894,7.566,12.57,7,31,63,234,1970-01-21 07:08:01.560,1970-01-21 07:08:46.800,Hè,,,
Cần Thơ,Đồng bằng sông Cửu Long,2025-07-29,28.24,31.659999999999997,25.919999999999998,32.94,36.32,30.96,3.56,3.56,0.0,7.0,81.6,23.2,49.339999999999996,20.52,1006.9,77.8,24.72,0.0,4.464,9.8019,105.7894,11.406,12.57,7,31,61,227,1970-01-21 07:09:27.960,1970-01-21 07:10:13.200,Hè,,,
Cần Thơ,Đồng bằng sông Cửu Long,2025-07-30,27.96,31.380000000000003,24.94,32.86,37.64,29.580000000000002,6.840000000000001,6.840000000000001,0.0,7.8,82.8,18.94,43.0,19.619999999999997,1008.0,81.2,24.619999999999997,0.0,4.18,9.8019,105.7894,10.828,12.56,7,31,63,238,1970-01-21 07:10:54.360,1970-01-21 07:11:39.576,Hè,,,
Cần Thơ,Đồng bằng sông Cửu Long,2025-07-31,27.580000000000002,30.439999999999998,25.48,32.92,36.82000000000001,30.339999999999996,10.5,10.5,0.0,9.2,86.6,16.9,43.3,19.014,1008.0,83.8,25.080000000000002,0.0,3.814,9.8019,105.7894,11.892,12.55,7,31,63,230,1970-01-21 07:12:20.772,1970-01-21 07:13:05.952,Hè,,,
Cần Thơ,Đồng bằng sông Cửu Long,2025-08-01,28.1,31.5,25.68,33.5,38.46,30.9,2.2,2.2,0.0,6.4,84.6,17.28,39.52,21.154,1007.2,94.4,25.119999999999997,0.0,4.366,9.8019,105.7894,11.828,12.55,8,31,53,225,1970-01-21 07:13:47.172,1970-01-21 07:14:32.340,Hè,,,
Cần Thơ,Đồng bằng sông Cửu Long,2025-08-02,28.2,31.619999999999997,25.6,34.04,38.160000000000004,31.18,2.76,2.76,0.0,5.0,84.2,16.36,34.839999999999996,22.128,1008.0,99.6,25.2,0.0,4.538,9.8019,105.7894,11.898,12.54,8,31,53,212,1970-01-21 07:15:13.572,1970-01-21 07:15:58.740,Hè,,,
Cần Thơ,Đồng bằng sông Cửu Long,2025-08-03,27.860000000000003,32.6,25.4,33.98,40.08,31.24,5.159999999999999,5.159999999999999,0.0,5.4,86.8,17.1,42.14,21.988,1009.3199999999999,77.4,25.3,0.0,4.4799999999999995,9.8019,105.7894,11.762,12.53,8,31,63,221,1970-01-21 07:16:39.984,1970-01-21 07:17:25.104,Hè,,,
