province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Huế,Bắc Trung Bộ,2025-07-21,28.6,29.939999999999998,27.04,31.5,34.08,28.919999999999998,1.1199999999999999,1.1199999999999999,0.0,6.0,68.4,24.16,49.17999999999999,8.984,997.3799999999999,100.0,22.06,0.0,3.4480000000000004,16.4637,107.5909,0.13999999999999999,12.964000000000002,7,30,51,185,1970-01-21 06:57:55.608,1970-01-21 06:58:42.288,Hè,,,
Huế,Bắc Trung Bộ,2025-07-22,29.02,31.22,26.619999999999997,31.860000000000003,34.64,28.080000000000002,1.1800000000000002,1.1800000000000002,0.0,4.8,64.6,28.119999999999997,60.17999999999999,12.09,997.4399999999999,100.0,21.5,0.0,4.212,16.4637,107.5909,3.5620000000000003,12.953999999999999,7,30,51,214,1970-01-21 06:59:22.008,1970-01-21 07:00:08.652,Hè,,,
Huế,Bắc Trung Bộ,2025-07-23,29.26,32.86,26.380000000000003,33.32000000000001,37.72,29.839999999999996,1.04,1.04,0.0,2.2,66.8,14.66,38.96,20.384,1000.4399999999999,100.0,22.16,0.0,4.978,16.4637,107.5909,10.928,12.947999999999999,7,30,51,145,1970-01-21 07:00:48.432,1970-01-21 07:01:35.040,Hè,,,
Huế,Bắc Trung Bộ,2025-07-24,28.2,31.32,25.98,32.64,35.36,29.68,2.2199999999999998,2.2199999999999998,0.0,5.6,75.0,15.86,34.9,13.63,1002.28,100.0,23.14,0.0,3.4560000000000004,16.4637,107.5909,4.412000000000001,12.937999999999999,7,30,51,217,1970-01-21 07:02:14.868,1970-01-21 07:03:01.428,Hè,,,
Huế,Bắc Trung Bộ,2025-07-25,26.28,29.2,24.380000000000003,30.76,34.2,27.28,14.819999999999999,14.819999999999999,0.0,12.4,84.8,17.880000000000003,40.160000000000004,9.790000000000001,1002.9200000000001,98.4,23.419999999999998,0.0,2.3920000000000003,16.4637,107.5909,3.5,12.930000000000001,7,30,63,167,1970-01-21 07:03:41.268,1970-01-21 07:04:27.828,Hè,,,
Huế,Bắc Trung Bộ,2025-07-26,26.580000000000002,30.28,24.52,31.360000000000003,35.96,28.139999999999997,16.18,16.18,0.0,12.6,84.8,16.6,38.519999999999996,15.302000000000001,1002.8,95.2,23.66,0.0,3.342,16.4637,107.5909,6.726000000000001,12.919999999999998,7,30,63,180,1970-01-21 07:05:07.692,1970-01-21 07:05:54.192,Hè,,,
Huế,Bắc Trung Bộ,2025-07-27,26.82,29.72,24.54,31.72,35.44,28.52,4.359999999999999,4.359999999999999,0.0,6.4,84.4,14.720000000000002,32.46,13.636000000000001,1002.3,94.6,23.84,0.0,3.052,16.4637,107.5909,6.56,12.91,7,30,61,181,1970-01-21 07:06:34.116,1970-01-21 07:07:20.580,Hè,,,
Huế,Bắc Trung Bộ,2025-07-28,26.860000000000003,30.119999999999997,24.9,32.14,35.92,28.98,3.6399999999999997,3.6399999999999997,0.0,7.2,84.2,12.06,27.080000000000002,13.186000000000002,1001.6200000000001,96.8,23.84,0.0,2.9,16.4637,107.5909,5.918,12.9,7,31,51,159,1970-01-21 07:08:00.528,1970-01-21 07:08:46.968,Hè,,,
Huế,Bắc Trung Bộ,2025-07-29,28.1,32.2,25.06,33.64,38.94,29.54,2.3,2.3,0.0,6.4,80.8,14.64,29.24,17.314,1000.64,94.0,24.32,0.0,3.972,16.4637,107.5909,6.254,12.89,7,31,53,184,1970-01-21 07:09:26.940,1970-01-21 07:10:13.332,Hè,,,
Huế,Bắc Trung Bộ,2025-07-30,28.439999999999998,31.18,26.580000000000002,32.86,35.839999999999996,30.439999999999998,1.2,1.2,0.0,2.4,74.8,19.64,41.46,15.225999999999999,1000.78,98.4,23.380000000000003,0.0,3.772,16.4637,107.5909,6.843999999999999,12.874,7,31,3,174,1970-01-21 07:10:53.364,1970-01-21 07:11:39.720,Hè,,,
