province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Hà Nội,Đồng bằng sông Hồng,2025-07-21,27.919999999999998,31.139999999999997,26.339999999999996,33.06,36.660000000000004,29.119999999999997,37.760000000000005,37.760000000000005,0.0,17.6,88.4,26.860000000000003,52.120000000000005,5.512,993.68,100.0,25.78,0.0,1.688,21.0285,105.85420000000002,0.054000000000000006,13.228,7,30,63,275,1970-01-21 06:57:55.548,1970-01-21 06:58:43.152,Hè,,,
Hà Nội,Đồng bằng sông Hồng,2025-07-22,27.419999999999998,30.6,25.839999999999996,29.919999999999998,34.17999999999999,27.32,37.62,37.62,0.0,20.8,84.6,35.94,71.34,13.318000000000001,991.0200000000001,100.0,24.56,0.0,3.41,21.0285,105.85420000000002,6.58,13.212,7,30,65,9,1970-01-21 06:59:21.972,1970-01-21 07:00:09.540,Hè,,,
Hà Nội,Đồng bằng sông Hồng,2025-07-23,27.4,30.96,24.919999999999998,32.760000000000005,38.22,29.080000000000002,17.240000000000002,17.240000000000002,0.0,15.0,86.8,15.48,34.260000000000005,19.228,997.8,98.6,24.919999999999998,0.0,3.9599999999999995,21.0285,105.85420000000002,10.024000000000001,13.2,7,30,63,91,1970-01-21 07:00:48.384,1970-01-21 07:01:35.928,Hè,,,
Hà Nội,Đồng bằng sông Hồng,2025-07-24,27.139999999999997,30.76,24.72,33.18,37.379999999999995,29.78,19.240000000000002,19.240000000000002,0.0,17.2,89.8,13.4,29.4,14.136000000000001,1001.1,100.0,25.22,0.0,2.946,21.0285,105.85420000000002,5.884,13.187999999999999,7,30,63,46,1970-01-21 07:02:14.832,1970-01-21 07:03:02.292,Hè,,,
Hà Nội,Đồng bằng sông Hồng,2025-07-25,27.48,30.98,25.04,34.14,39.3,30.5,12.86,12.86,0.0,20.2,90.4,9.36,24.119999999999997,14.937999999999999,1001.3799999999999,100.0,25.68,0.0,3.18,21.0285,105.85420000000002,5.662,13.178,7,30,63,3,1970-01-21 07:03:41.232,1970-01-21 07:04:28.680,Hè,,,
Hà Nội,Đồng bằng sông Hồng,2025-07-26,28.2,32.5,25.639999999999997,35.12,41.1,32.260000000000005,14.74,14.74,0.0,12.0,87.2,13.219999999999999,31.4,22.05,1001.0799999999999,71.2,25.68,0.0,4.6259999999999994,21.0285,105.85420000000002,9.914,13.162,7,30,65,82,1970-01-21 07:05:07.668,1970-01-21 07:05:55.056,Hè,,,
Hà Nội,Đồng bằng sông Hồng,2025-07-27,28.54,32.88,25.48,35.17999999999999,41.18,31.82,1.9600000000000002,1.9600000000000002,0.0,4.0,85.4,14.940000000000001,28.96,22.701999999999998,1000.4799999999999,79.2,25.639999999999997,0.0,4.837999999999999,21.0285,105.85420000000002,11.664,13.15,7,30,53,133,1970-01-21 07:06:34.092,1970-01-21 07:07:21.432,Hè,,,
Hà Nội,Đồng bằng sông Hồng,2025-07-28,29.560000000000002,34.17999999999999,25.080000000000002,36.64,42.92,31.360000000000003,0.5,0.5,0.0,1.2,81.8,11.8,22.240000000000002,24.688,998.8399999999999,41.2,25.880000000000003,0.0,5.4,21.0285,105.85420000000002,11.966,13.138,7,31,3,167,1970-01-21 07:08:00.504,1970-01-21 07:08:47.808,Hè,,,
Hà Nội,Đồng bằng sông Hồng,2025-07-29,30.96,35.54,26.439999999999998,38.22,44.1,33.18,0.0,0.0,0.0,0.0,78.2,9.86,18.72,24.016,997.0799999999999,77.6,26.46,0.0,5.446,21.0285,105.85420000000002,11.664,13.122,7,31,3,163,1970-01-21 07:09:26.940,1970-01-21 07:10:14.172,Hè,,,
Hà Nội,Đồng bằng sông Hồng,2025-07-30,31.5,36.18,27.339999999999996,38.980000000000004,45.12,34.08,3.0,3.0,0.0,0.8,77.2,10.26,23.7,23.814,996.8,98.8,26.82,0.0,5.424,21.0285,105.85420000000002,11.356,13.11,7,31,63,125,1970-01-21 07:10:53.352,1970-01-21 07:11:40.548,Hè,,,
