province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Hà Tĩnh,Bắc Trung Bộ,2025-07-21,27.56,29.160000000000004,26.1,32.760000000000005,34.44,30.76,14.26,14.26,0.0,18.4,85.4,16.36,31.48,5.552,995.9,100.0,24.8,0.0,1.7759999999999998,18.356,105.9,0.0,13.07,7,30,61,24,1970-01-21 06:57:55.812,1970-01-21 06:58:42.864,Hè,,,
Hà Tĩnh,Bắc Trung Bộ,2025-07-22,26.360000000000003,27.880000000000003,25.28,30.339999999999996,32.3,28.18,48.4,48.4,0.0,19.0,86.6,23.660000000000004,46.18,5.3340000000000005,992.54,100.0,23.84,0.0,1.784,18.356,105.9,0.408,13.06,7,30,63,159,1970-01-21 06:59:22.224,1970-01-21 07:00:09.252,Hè,,,
Hà Tĩnh,Bắc Trung Bộ,2025-07-23,28.56,31.28,26.119999999999997,32.5,36.56,29.02,0.04,0.04,0.0,0.4,75.4,22.28,38.16,14.452000000000002,997.52,99.8,23.619999999999997,0.0,4.022,18.356,105.9,6.044,13.05,7,30,3,174,1970-01-21 07:00:48.660,1970-01-21 07:01:35.640,Hè,,,
Hà Tĩnh,Bắc Trung Bộ,2025-07-24,28.54,30.94,25.94,33.44,36.7,29.72,2.04,2.04,0.0,3.0,77.0,15.660000000000002,32.04,14.766,1000.78,98.4,24.06,0.0,3.648,18.356,105.9,8.032,13.04,7,30,61,216,1970-01-21 07:02:15.072,1970-01-21 07:03:02.028,Hè,,,
Hà Tĩnh,Bắc Trung Bộ,2025-07-25,26.96,28.380000000000003,25.36,32.160000000000004,34.2,30.3,9.5,9.5,0.0,13.6,85.4,13.02,28.860000000000003,7.014,1001.82,100.0,24.26,0.0,1.85,18.356,105.9,0.0,13.029999999999998,7,30,61,163,1970-01-21 07:03:41.496,1970-01-21 07:04:28.404,Hè,,,
Hà Tĩnh,Bắc Trung Bộ,2025-07-26,27.82,30.92,26.06,33.68,37.96,31.28,8.4,8.4,0.0,9.2,84.0,11.9,29.08,15.438,1001.58,99.8,24.8,0.0,3.418,18.356,105.9,6.366,13.02,7,30,53,154,1970-01-21 07:05:07.920,1970-01-21 07:05:54.780,Hè,,,
Hà Tĩnh,Bắc Trung Bộ,2025-07-27,27.32,29.74,25.46,32.6,35.06,30.360000000000003,22.32,22.32,0.0,8.8,85.2,14.14,27.639999999999997,14.638,1001.04,94.2,24.48,0.0,3.178,18.356,105.9,6.95,13.008,7,30,63,219,1970-01-21 07:06:34.332,1970-01-21 07:07:21.168,Hè,,,
Hà Tĩnh,Bắc Trung Bộ,2025-07-28,27.96,31.7,24.98,33.44,38.3,29.9,9.88,9.88,0.0,8.0,82.4,13.8,32.480000000000004,19.222,999.9,82.2,24.52,0.0,4.2379999999999995,18.356,105.9,9.078,12.996,7,31,63,209,1970-01-21 07:08:00.744,1970-01-21 07:08:47.544,Hè,,,
Hà Tĩnh,Bắc Trung Bộ,2025-07-29,30.02,33.339999999999996,26.8,35.5,40.96,31.3,0.18,0.18,0.0,1.0,73.2,18.639999999999997,35.14,23.974,998.52,74.0,24.56,0.0,5.746,18.356,105.9,11.936,12.986,7,31,51,183,1970-01-21 07:09:27.180,1970-01-21 07:10:13.920,Hè,,,
Hà Tĩnh,Bắc Trung Bộ,2025-07-30,30.380000000000003,33.7,27.96,35.12,40.06,32.18,0.08,0.08,0.0,0.4,70.8,18.9,35.64,22.788,998.6,90.6,24.36,0.0,5.708,18.356,105.9,11.31,12.970000000000002,7,31,3,209,1970-01-21 07:10:53.592,1970-01-21 07:11:40.296,Hè,,,
