province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Hưng Yên,Đồng bằng sông Hồng,2025-07-21,27.18,28.439999999999998,26.119999999999997,31.68,33.88,27.860000000000003,61.86,61.86,0.0,21.4,90.0,33.52,63.42,3.186,993.4200000000001,100.0,25.4,0.0,1.238,20.5482,106.1955,0.0,13.2,7,30,65,271,1970-01-21 06:57:55.512,1970-01-21 06:58:43.020,Hè,,,
Hưng Yên,Đồng bằng sông Hồng,2025-07-22,27.160000000000004,30.4,25.639999999999997,29.18,33.739999999999995,25.78,64.4,64.4,0.0,21.2,86.0,44.239999999999995,80.76,14.556000000000001,988.5600000000001,100.0,24.52,0.0,3.5160000000000005,20.5482,106.1955,6.154,13.187999999999999,7,30,65,6,1970-01-21 06:59:21.936,1970-01-21 07:00:09.408,Hè,,,
Hưng Yên,Đồng bằng sông Hồng,2025-07-23,27.839999999999996,31.020000000000003,24.880000000000003,33.44,38.0,29.32,13.280000000000001,13.280000000000001,0.0,13.0,85.6,16.84,35.04,20.116,997.6600000000001,99.2,25.119999999999997,0.0,4.114,20.5482,106.1955,11.262,13.172,7,30,65,101,1970-01-21 07:00:48.360,1970-01-21 07:01:35.784,Hè,,,
Hưng Yên,Đồng bằng sông Hồng,2025-07-24,27.28,30.080000000000002,24.919999999999998,33.239999999999995,36.96,29.68,19.380000000000003,19.380000000000003,0.0,15.8,90.0,13.059999999999999,28.439999999999998,13.714000000000002,1000.86,99.8,25.439999999999998,0.0,2.836,20.5482,106.1955,4.022,13.16,7,30,63,46,1970-01-21 07:02:14.784,1970-01-21 07:03:02.160,Hè,,,
Hưng Yên,Đồng bằng sông Hồng,2025-07-25,27.139999999999997,30.360000000000003,25.18,33.760000000000005,38.96,30.78,18.5,18.5,0.0,16.6,91.8,9.959999999999999,21.96,13.658000000000001,1001.36,100.0,25.639999999999997,0.0,2.848,20.5482,106.1955,5.96,13.15,7,30,65,3,1970-01-21 07:03:41.208,1970-01-21 07:04:28.548,Hè,,,
Hưng Yên,Đồng bằng sông Hồng,2025-07-26,27.9,31.939999999999998,25.4,34.739999999999995,40.58,31.74,10.58,10.58,0.0,12.0,88.4,9.32,25.78,20.694,1001.1200000000001,80.8,25.6,0.0,4.314,20.5482,106.1955,9.684000000000001,13.14,7,30,63,229,1970-01-21 07:05:07.632,1970-01-21 07:05:54.924,Hè,,,
Hưng Yên,Đồng bằng sông Hồng,2025-07-27,28.2,32.18,25.22,34.86,40.58,31.5,3.2600000000000002,3.2600000000000002,0.0,3.4,86.4,11.76,26.660000000000004,22.024,1000.5200000000001,70.8,25.639999999999997,0.0,4.578,20.5482,106.1955,11.889999999999999,13.128,7,30,63,146,1970-01-21 07:06:34.044,1970-01-21 07:07:21.300,Hè,,,
Hưng Yên,Đồng bằng sông Hồng,2025-07-28,29.02,33.459999999999994,25.04,36.08,42.16,31.18,0.45999999999999996,0.45999999999999996,0.0,2.6,84.2,11.1,22.3,24.308,999.04,50.2,25.880000000000003,0.0,5.188,20.5482,106.1955,12.03,13.11,7,31,51,172,1970-01-21 07:08:00.480,1970-01-21 07:08:47.676,Hè,,,
Hưng Yên,Đồng bằng sông Hồng,2025-07-29,30.7,35.06,26.360000000000003,37.879999999999995,44.12,33.04,0.0,0.0,0.0,0.0,79.0,12.559999999999999,21.66,23.663999999999998,997.3,83.4,26.380000000000003,0.0,5.396,20.5482,106.1955,10.776,13.1,7,31,3,183,1970-01-21 07:09:26.892,1970-01-21 07:10:14.040,Hè,,,
Hưng Yên,Đồng bằng sông Hồng,2025-07-30,31.48,35.8,27.360000000000003,39.0,45.019999999999996,33.82000000000001,0.74,0.74,0.0,1.0,77.4,11.459999999999999,23.919999999999998,24.288,996.9,98.6,26.96,0.0,5.526,20.5482,106.1955,11.684000000000001,13.088,7,31,3,211,1970-01-21 07:10:53.316,1970-01-21 07:11:40.428,Hè,,,
Hưng Yên,Đồng bằng sông Hồng,2025-07-31,29.98,33.5,27.68,37.12,42.14,33.56,14.339999999999998,14.339999999999998,0.0,8.8,82.4,12.4,24.78,18.568,997.4,100.0,26.580000000000002,0.0,4.164,20.5482,106.1955,7.608,13.069999999999999,7,31,63,217,1970-01-21 07:12:19.740,1970-01-21 07:13:06.792,Hè,,,
Hưng Yên,Đồng bằng sông Hồng,2025-08-01,28.139999999999997,31.74,25.839999999999996,34.62,39.9,31.2,14.64,14.64,0.0,11.4,88.0,13.2,34.559999999999995,18.580000000000002,998.74,86.0,25.860000000000003,0.0,3.8480000000000003,20.5482,106.1955,10.038,13.059999999999999,8,31,63,277,1970-01-21 07:13:46.152,1970-01-21 07:14:33.168,Hè,,,
Hưng Yên,Đồng bằng sông Hồng,2025-08-02,29.560000000000002,34.0,25.7,37.08,43.480000000000004,32.17999999999999,0.78,0.78,0.0,3.2,85.2,13.36,28.52,23.768,1000.4200000000001,80.8,26.68,0.0,5.138,20.5482,106.1955,12.0,13.040000000000001,8,31,51,204,1970-01-21 07:15:12.588,1970-01-21 07:15:59.532,Hè,,,
Hưng Yên,Đồng bằng sông Hồng,2025-08-03,31.639999999999997,35.8,27.939999999999998,37.8,42.54,33.760000000000005,0.06,0.06,0.0,0.2,73.8,16.5,31.619999999999997,23.824,999.82,90.8,26.18,0.0,5.912000000000001,20.5482,106.1955,12.008,13.029999999999998,8,31,3,213,1970-01-21 07:16:39.000,1970-01-21 07:17:25.908,Hè,,,
Hưng Yên,Đồng bằng sông Hồng,2025-08-04,31.920000000000005,35.980000000000004,28.4,37.519999999999996,43.760000000000005,32.32,0.06,0.06,0.0,0.4,69.2,15.080000000000002,28.639999999999997,23.894,999.6,98.8,25.439999999999998,0.0,6.186,20.5482,106.1955,11.430000000000001,13.01,8,32,3,207,1970-01-21 07:18:05.424,1970-01-21 07:18:52.260,Hè,,,
Hưng Yên,Đồng bằng sông Hồng,2025-08-05,30.5,34.56,27.68,36.68,41.260000000000005,33.32,2.12,2.12,0.0,2.6,77.0,12.66,25.36,16.192,1001.1,100.0,25.8,0.0,4.042,20.5482,106.1955,6.452,13.0,8,32,51,226,1970-01-21 07:19:31.848,1970-01-21 07:20:18.636,Hè,,,
