province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Hải Phòng,Đồng bằng sông Hồng,2025-07-21,26.860000000000003,28.04,26.139999999999997,31.18,33.480000000000004,27.76,83.67999999999999,83.67999999999999,0.0,22.2,93.0,34.42,68.47999999999999,2.84,992.74,100.0,25.6,0.0,1.016,20.8928,106.5095,0.0,13.218,7,30,65,290,1970-01-21 06:57:55.392,1970-01-21 06:58:42.984,Hè,,,
Hải Phòng,Đồng bằng sông Hồng,2025-07-22,27.380000000000003,30.18,25.939999999999998,29.5,33.18,26.48,36.98,36.98,0.0,23.0,84.8,40.82,77.12,17.016,989.72,100.0,24.5,0.0,3.928,20.8928,106.5095,7.934,13.208000000000002,7,30,63,40,1970-01-21 06:59:21.828,1970-01-21 07:00:09.360,Hè,,,
Hải Phòng,Đồng bằng sông Hồng,2025-07-23,27.639999999999997,30.880000000000003,24.32,32.56,36.16,28.419999999999998,10.2,10.2,0.0,15.0,85.2,17.84,36.940000000000005,19.240000000000002,998.1,99.2,24.8,0.0,4.064,20.8928,106.5095,11.058,13.191999999999998,7,30,63,101,1970-01-21 07:00:48.252,1970-01-21 07:01:35.748,Hè,,,
Hải Phòng,Đồng bằng sông Hồng,2025-07-24,27.24,30.360000000000003,24.880000000000003,32.519999999999996,36.3,29.139999999999997,14.319999999999999,14.319999999999999,0.0,14.2,88.2,16.380000000000003,33.92,15.24,1001.0799999999999,99.8,25.04,0.0,3.17,20.8928,106.5095,5.696,13.180000000000001,7,30,63,78,1970-01-21 07:02:14.676,1970-01-21 07:03:02.136,Hè,,,
Hải Phòng,Đồng bằng sông Hồng,2025-07-25,27.0,30.46,25.06,33.519999999999996,38.28,30.78,18.580000000000002,18.580000000000002,0.0,15.4,92.0,8.36,19.880000000000003,13.475999999999999,1001.36,99.8,25.5,0.0,2.784,20.8928,106.5095,5.720000000000001,13.168000000000001,7,30,65,19,1970-01-21 07:03:41.088,1970-01-21 07:04:28.500,Hè,,,
Hải Phòng,Đồng bằng sông Hồng,2025-07-26,28.18,32.54,25.2,35.0,41.239999999999995,31.5,7.3,7.3,0.0,8.2,86.4,10.68,25.48,22.342000000000002,1001.0799999999999,65.4,25.5,0.0,4.686,20.8928,106.5095,11.356,13.158000000000001,7,30,63,10,1970-01-21 07:05:07.512,1970-01-21 07:05:54.888,Hè,,,
Hải Phòng,Đồng bằng sông Hồng,2025-07-27,28.639999999999997,32.86,25.04,35.14,40.78,31.22,1.64,1.64,0.0,3.8,83.6,11.76,26.52,24.516,1000.54,50.0,25.3,0.0,5.2,20.8928,106.5095,12.081999999999999,13.142000000000001,7,30,51,128,1970-01-21 07:06:33.948,1970-01-21 07:07:21.252,Hè,,,
Hải Phòng,Đồng bằng sông Hồng,2025-07-28,29.139999999999997,33.4,25.16,36.260000000000005,42.4,31.4,2.7,2.7,0.0,3.6,83.6,9.540000000000001,19.94,24.444,999.04,52.0,25.860000000000003,0.0,5.214,20.8928,106.5095,12.074,13.13,7,31,53,131,1970-01-21 07:08:00.360,1970-01-21 07:08:47.628,Hè,,,
Hải Phòng,Đồng bằng sông Hồng,2025-07-29,30.48,34.8,26.380000000000003,37.72,43.34,33.17999999999999,0.0,0.0,0.0,0.0,80.4,11.319999999999999,22.119999999999997,22.235999999999997,997.36,91.4,26.46,0.0,5.026,20.8928,106.5095,10.286,13.118,7,31,3,138,1970-01-21 07:09:26.784,1970-01-21 07:10:14.004,Hè,,,
Hải Phòng,Đồng bằng sông Hồng,2025-07-30,31.339999999999996,35.64,27.52,39.06,44.36,34.36,1.58,1.58,0.0,1.4,79.0,11.18,22.84,22.116,997.0,99.2,27.119999999999997,0.0,5.01,20.8928,106.5095,11.472,13.1,7,31,53,131,1970-01-21 07:10:53.208,1970-01-21 07:11:40.368,Hè,,,
Hải Phòng,Đồng bằng sông Hồng,2025-07-31,29.619999999999997,32.96,26.939999999999998,36.78,41.04,32.72,17.479999999999997,17.479999999999997,0.0,9.4,84.8,12.819999999999999,25.56,16.828,997.46,100.0,26.619999999999997,0.0,3.6879999999999997,20.8928,106.5095,7.1,13.088,7,31,65,96,1970-01-21 07:12:19.632,1970-01-21 07:13:06.756,Hè,,,
