province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Hồ Chí Minh,Đông Nam Bộ,2025-07-21,26.939999999999998,31.1,24.619999999999997,31.22,35.739999999999995,28.54,8.059999999999999,8.059999999999999,0.0,15.4,85.6,25.16,57.1,14.836000000000002,1006.14,100.0,24.259999999999998,0.0,3.2380000000000004,10.8967,106.7832,4.484,12.67,7,30,63,240,1970-01-21 06:57:56.328,1970-01-21 06:58:41.940,Hè,,,
Hồ Chí Minh,Đông Nam Bộ,2025-07-22,28.26,32.160000000000004,24.98,32.36,36.18,29.580000000000002,2.7,2.7,0.0,8.0,78.0,25.1,57.1,21.490000000000002,1005.32,99.2,23.880000000000003,0.0,4.8740000000000006,10.8967,106.7832,11.738,12.662,7,30,63,238,1970-01-21 06:59:22.740,1970-01-21 07:00:08.328,Hè,,,
Hồ Chí Minh,Đông Nam Bộ,2025-07-23,27.8,31.22,25.380000000000003,32.82,37.239999999999995,29.98,11.440000000000001,11.440000000000001,0.0,8.4,82.2,19.919999999999998,51.56,19.014,1005.14,93.2,24.44,0.0,3.9939999999999998,10.8967,106.7832,11.086,12.654,7,30,63,236,1970-01-21 07:00:49.152,1970-01-21 07:01:34.704,Hè,,,
Hồ Chí Minh,Đông Nam Bộ,2025-07-24,28.68,32.5,25.54,33.660000000000004,37.32,30.880000000000003,0.22000000000000003,0.22000000000000003,0.0,1.2,77.4,17.5,42.480000000000004,19.402,1006.0200000000001,97.8,24.119999999999997,0.0,4.442,10.8967,106.7832,10.038,12.65,7,30,51,261,1970-01-21 07:02:15.564,1970-01-21 07:03:01.104,Hè,,,
Hồ Chí Minh,Đông Nam Bộ,2025-07-25,28.54,32.980000000000004,24.86,33.239999999999995,37.08,29.48,8.42,8.42,0.0,2.8,77.0,19.18,40.0,22.014,1006.22,89.2,23.76,0.0,5.023999999999999,10.8967,106.7832,10.572,12.644,7,30,65,275,1970-01-21 07:03:41.988,1970-01-21 07:04:27.504,Hè,,,
Hồ Chí Minh,Đông Nam Bộ,2025-07-26,27.98,32.44,25.32,33.2,36.379999999999995,30.939999999999998,1.1400000000000001,1.1400000000000001,0.0,5.8,83.2,17.84,37.22,14.862,1006.86,99.8,24.68,0.0,3.474,10.8967,106.7832,5.39,12.64,7,30,51,255,1970-01-21 07:05:08.388,1970-01-21 07:05:53.880,Hè,,,
Hồ Chí Minh,Đông Nam Bộ,2025-07-27,27.080000000000002,31.080000000000002,25.119999999999997,31.96,36.1,30.24,13.719999999999999,13.719999999999999,0.0,9.8,86.2,19.880000000000003,43.42,16.422,1007.26,98.8,24.5,0.0,3.428,10.8967,106.7832,7.698,12.63,7,30,63,235,1970-01-21 07:06:34.800,1970-01-21 07:07:20.280,Hè,,,
Hồ Chí Minh,Đông Nam Bộ,2025-07-28,26.74,29.839999999999996,24.520000000000003,31.580000000000002,34.5,29.619999999999997,11.4,11.4,0.0,10.6,88.2,21.92,48.1,16.880000000000003,1006.9,85.2,24.6,0.0,3.3600000000000003,10.8967,106.7832,10.118,12.623999999999999,7,31,63,222,1970-01-21 07:08:01.212,1970-01-21 07:08:46.644,Hè,,,
Hồ Chí Minh,Đông Nam Bộ,2025-07-29,27.839999999999996,30.78,25.54,32.88,36.12,30.68,11.540000000000001,11.540000000000001,0.0,8.8,84.2,19.98,48.72,19.178,1006.68,76.0,24.8,0.0,4.016,10.8967,106.7832,11.354000000000001,12.62,7,31,63,219,1970-01-21 07:09:27.624,1970-01-21 07:10:13.044,Hè,,,
Hồ Chí Minh,Đông Nam Bộ,2025-07-30,28.560000000000002,32.160000000000004,25.9,33.42,37.980000000000004,30.880000000000003,2.06,2.06,0.0,6.4,79.8,19.48,44.7,20.663999999999998,1007.4200000000001,91.8,24.580000000000002,0.0,4.608,10.8967,106.7832,11.116,12.61,7,31,51,234,1970-01-21 07:10:54.024,1970-01-21 07:11:39.420,Hè,,,
