province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Lào Cai,Trung du miền núi Bắc Bộ,2025-07-21,27.0,32.21111111111111,23.866666666666667,31.744444444444444,37.21111111111111,27.977777777777778,19.366666666666667,19.366666666666667,0.0,9.555555555555555,81.88888888888889,14.266666666666667,37.388888888888886,16.142222222222223,996.7111111111111,99.66666666666667,23.299999999999997,0.0,3.6855555555555557,22.0954,104.4233,7.291111111111111,13.29,7,30,63,228,1970-01-21 06:57:55.786666666,1970-01-21 06:58:43.606666666,Hè,,,
Lào Cai,Trung du miền núi Bắc Bộ,2025-07-22,24.88888888888889,29.033333333333335,23.166666666666668,29.633333333333333,34.388888888888886,27.11111111111111,54.22222222222222,54.22222222222222,0.0,20.88888888888889,91.55555555555556,12.977777777777778,40.611111111111114,12.364444444444445,995.8555555555556,100.0,23.299999999999997,0.0,2.5644444444444447,22.0954,104.4233,4.449999999999999,13.275555555555554,7,30,65,22,1970-01-21 06:59:22.200000000,1970-01-21 07:00:10.000000000,Hè,,,
Lào Cai,Trung du miền núi Bắc Bộ,2025-07-23,24.58888888888889,28.366666666666667,22.51111111111111,29.599999999999998,34.03333333333333,26.977777777777778,30.38888888888889,30.38888888888889,0.0,21.555555555555557,91.33333333333333,10.744444444444445,37.47777777777778,17.465555555555554,999.5888888888888,100.0,23.0,0.0,3.411111111111111,22.0954,104.4233,8.47888888888889,13.262222222222222,7,30,63,86,1970-01-21 07:00:48.633333333,1970-01-21 07:01:36.366666666,Hè,,,
Lào Cai,Trung du miền núi Bắc Bộ,2025-07-24,24.211111111111112,27.255555555555556,22.4,29.566666666666663,32.84444444444445,27.355555555555554,36.15555555555555,36.15555555555555,0.0,22.666666666666668,94.66666666666667,7.7666666666666675,22.666666666666668,13.202222222222222,1002.688888888889,99.88888888888889,23.288888888888888,0.0,2.6177777777777775,22.0954,104.4233,5.68,13.25,7,30,65,25,1970-01-21 07:02:15.046666666,1970-01-21 07:03:02.746666666,Hè,,,
Lào Cai,Trung du miền núi Bắc Bộ,2025-07-25,25.066666666666666,28.766666666666666,22.633333333333333,30.82222222222222,35.422222222222224,27.677777777777777,29.188888888888886,29.188888888888886,0.0,20.11111111111111,91.88888888888889,5.9,19.51111111111111,16.163333333333334,1002.8222222222222,97.11111111111111,23.577777777777776,0.0,3.3066666666666666,22.0954,104.4233,8.284444444444444,13.24,7,30,63,5,1970-01-21 07:03:41.466666666,1970-01-21 07:04:29.133333333,Hè,,,
Lào Cai,Trung du miền núi Bắc Bộ,2025-07-26,25.48888888888889,30.11111111111111,22.655555555555555,31.34444444444445,37.422222222222224,27.477777777777778,24.6,24.6,0.0,18.22222222222222,89.66666666666667,6.044444444444444,20.51111111111111,18.89777777777778,1002.6777777777778,100.0,23.533333333333335,0.0,3.8577777777777778,22.0954,104.4233,9.275555555555556,13.222222222222221,7,30,65,4,1970-01-21 07:05:07.906666666,1970-01-21 07:05:55.493333333,Hè,,,
Lào Cai,Trung du miền núi Bắc Bộ,2025-07-27,26.633333333333333,30.966666666666665,22.822222222222223,32.099999999999994,37.75555555555556,27.677777777777777,1.7555555555555555,1.7555555555555555,0.0,6.555555555555555,80.88888888888889,6.766666666666667,22.522222222222226,23.744444444444444,1002.1333333333334,86.88888888888889,22.77777777777778,0.0,4.888888888888889,22.0954,104.4233,11.11,13.21,7,30,51,38,1970-01-21 07:06:34.320000000,1970-01-21 07:07:21.886666666,Hè,,,
Lào Cai,Trung du miền núi Bắc Bộ,2025-07-28,27.955555555555556,32.95555555555555,22.944444444444443,33.077777777777776,39.68888888888889,26.922222222222224,0.35555555555555557,0.35555555555555557,0.0,1.2222222222222223,72.11111111111111,5.7555555555555555,18.288888888888888,25.81222222222222,1000.2222222222222,25.555555555555557,22.055555555555557,0.0,5.448888888888889,22.0954,104.4233,12.373333333333333,13.195555555555554,7,31,3,55,1970-01-21 07:08:00.753333333,1970-01-21 07:08:48.246666666,Hè,,,
Lào Cai,Trung du miền núi Bắc Bộ,2025-07-29,28.988888888888887,34.67777777777778,23.966666666666665,34.577777777777776,41.46666666666667,28.366666666666667,0.34444444444444444,0.34444444444444444,0.0,1.1111111111111112,71.66666666666667,6.722222222222222,20.72222222222222,25.404444444444444,998.5,52.666666666666664,22.922222222222224,0.0,5.506666666666667,22.0954,104.4233,12.343333333333334,13.18,7,31,3,1,1970-01-21 07:09:27.173333333,1970-01-21 07:10:14.626666666,Hè,,,
Lào Cai,Trung du miền núi Bắc Bộ,2025-07-30,29.22222222222222,34.166666666666664,24.966666666666665,35.18888888888889,41.31111111111111,29.82222222222222,0.5888888888888889,0.5888888888888889,0.0,1.2222222222222223,74.77777777777777,8.68888888888889,24.877777777777776,23.218888888888888,998.5222222222224,91.44444444444444,23.91111111111111,0.0,5.132222222222222,22.0954,104.4233,11.481111111111112,13.16777777777778,7,31,3,50,1970-01-21 07:10:53.586666666,1970-01-21 07:11:40.993333333,Hè,,,
Lào Cai,Trung du miền núi Bắc Bộ,2025-07-31,27.87777777777778,32.22222222222222,24.655555555555555,33.388888888888886,37.922222222222224,29.72222222222222,5.866666666666666,5.866666666666666,0.0,5.666666666666667,79.22222222222223,8.822222222222223,26.0,20.216666666666665,998.9000000000001,97.88888888888889,23.633333333333333,0.0,4.43,22.0954,104.4233,10.270000000000001,13.15,7,31,61,215,1970-01-21 07:12:20.026666666,1970-01-21 07:13:07.366666666,Hè,,,
Lào Cai,Trung du miền núi Bắc Bộ,2025-08-01,27.055555555555557,32.422222222222224,23.299999999999997,32.86666666666667,39.455555555555556,28.077777777777776,14.0,14.0,0.0,10.666666666666666,83.44444444444444,8.633333333333333,25.133333333333336,22.963333333333335,999.9555555555556,62.44444444444444,23.566666666666666,0.0,4.838888888888889,22.0954,104.4233,11.205555555555556,13.137777777777778,8,31,63,6,1970-01-21 07:13:46.440000000,1970-01-21 07:14:33.726666666,Hè,,,
Lào Cai,Trung du miền núi Bắc Bộ,2025-08-02,27.577777777777776,32.888888888888886,22.666666666666668,33.37777777777777,39.74444444444444,27.299999999999997,0.5222222222222223,0.5222222222222223,0.0,2.5555555555555554,79.66666666666667,8.277777777777779,22.955555555555556,24.31888888888889,1001.5888888888888,64.0,23.355555555555554,0.0,5.173333333333334,22.0954,104.4233,12.245555555555555,13.12,8,31,51,102,1970-01-21 07:15:12.873333333,1970-01-21 07:16:00.106666666,Hè,,,
Lào Cai,Trung du miền núi Bắc Bộ,2025-08-03,28.67777777777778,33.71111111111111,24.433333333333334,34.233333333333334,39.87777777777777,29.622222222222224,0.8777777777777778,0.8777777777777778,0.0,2.0,76.0,11.622222222222222,32.93333333333333,23.73,1000.9111111111112,63.888888888888886,23.655555555555555,0.0,5.292222222222222,22.0954,104.4233,11.883333333333333,13.101111111111111,8,31,3,61,1970-01-21 07:16:39.293333333,1970-01-21 07:17:26.460000000,Hè,,,
