province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-07-21,24.66,27.119999999999997,23.34,27.919999999999998,30.919999999999998,24.740000000000002,40.82,40.82,0.0,18.6,91.8,31.24,75.32000000000001,6.05,993.78,100.0,23.240000000000002,0.0,1.434,21.8537,106.7615,0.6460000000000001,13.272,7,30,63,343,1970-01-21 06:57:55.248,1970-01-21 06:58:43.020,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-07-22,24.419999999999998,27.439999999999998,22.9,26.98,31.380000000000003,23.9,28.660000000000004,28.660000000000004,0.0,20.0,92.8,31.96,77.56,15.15,994.1,100.0,23.16,0.0,2.724,21.8537,106.7615,7.418000000000001,13.262,7,30,63,45,1970-01-21 06:59:21.672,1970-01-21 07:00:09.408,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-07-23,24.64,28.339999999999996,22.32,28.7,32.760000000000005,25.82,12.540000000000001,12.540000000000001,0.0,13.0,90.2,16.3,40.18,17.438,999.9399999999999,99.2,22.84,0.0,3.336,21.8537,106.7615,9.612,13.248,7,30,61,82,1970-01-21 07:00:48.096,1970-01-21 07:01:35.784,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-07-24,24.3,27.839999999999996,22.44,29.18,32.720000000000006,26.72,16.48,16.48,0.0,14.4,93.4,9.6,24.4,13.456,1002.6200000000001,100.0,23.119999999999997,0.0,2.6420000000000003,21.8537,106.7615,5.502,13.232,7,30,63,53,1970-01-21 07:02:14.508,1970-01-21 07:03:02.160,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-07-25,24.66,29.560000000000002,21.86,29.6,35.67999999999999,25.9,13.86,13.86,0.0,11.0,91.2,9.16,24.76,16.81,1002.5200000000001,95.0,23.02,0.0,3.338,21.8537,106.7615,8.592,13.222,7,30,63,16,1970-01-21 07:03:40.944,1970-01-21 07:04:28.548,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-07-26,25.82,31.660000000000004,21.880000000000003,30.919999999999998,37.78,26.48,1.1199999999999999,1.1199999999999999,0.0,4.6,84.2,9.84,25.7,23.304,1002.18,61.6,22.6,0.0,4.832,21.8537,106.7615,11.884,13.209999999999999,7,30,51,115,1970-01-21 07:05:07.368,1970-01-21 07:05:54.912,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-07-27,26.639999999999997,32.04,21.880000000000003,31.339999999999996,37.38,26.360000000000003,0.38,0.38,0.0,2.0,79.2,9.3,22.46,24.854000000000003,1001.6,37.4,22.2,0.0,5.26,21.8537,106.7615,11.844,13.191999999999998,7,30,51,108,1970-01-21 07:06:33.792,1970-01-21 07:07:21.288,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-07-28,27.3,32.660000000000004,22.72,32.72,39.339999999999996,27.52,0.5599999999999999,0.5599999999999999,0.0,3.0,81.0,8.7,20.880000000000003,24.439999999999998,999.9799999999999,53.2,23.380000000000003,0.0,5.146,21.8537,106.7615,12.053999999999998,13.181999999999999,7,31,51,204,1970-01-21 07:08:00.216,1970-01-21 07:08:47.664,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-07-29,27.880000000000003,32.56,24.36,33.32,38.44,29.419999999999998,0.96,0.96,0.0,1.4,81.6,9.620000000000001,24.04,17.701999999999998,998.5799999999999,98.8,24.139999999999997,0.0,3.868,21.8537,106.7615,8.462,13.168000000000001,7,31,53,193,1970-01-21 07:09:26.628,1970-01-21 07:10:14.040,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-07-30,27.9,33.2,24.68,33.980000000000004,40.239999999999995,30.139999999999997,6.7,6.7,0.0,5.4,83.0,8.72,22.1,22.69,998.5,91.4,24.48,0.0,4.824,21.8537,106.7615,11.453999999999999,13.152000000000001,7,31,63,189,1970-01-21 07:10:53.064,1970-01-21 07:11:40.404,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-07-31,26.32,31.68,22.880000000000003,32.12,39.36,27.18,19.04,19.04,0.0,11.4,89.4,14.34,35.14,19.184,998.9,86.0,24.3,0.0,3.908,21.8537,106.7615,10.2,13.14,7,31,63,43,1970-01-21 07:12:19.488,1970-01-21 07:13:06.780,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-08-01,24.06,27.639999999999997,22.560000000000002,28.919999999999998,32.52,26.919999999999998,11.84,11.84,0.0,12.8,94.2,10.879999999999999,28.580000000000002,11.992,999.96,85.2,23.02,0.0,2.316,21.8537,106.7615,5.029999999999999,13.122,8,31,63,5,1970-01-21 07:13:45.900,1970-01-21 07:14:33.144,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-08-02,26.939999999999998,31.82,22.240000000000002,32.260000000000005,38.5,26.839999999999996,0.76,0.76,0.0,3.4,83.2,10.84,26.48,24.562,1001.4799999999999,87.2,23.46,0.0,5.182,21.8537,106.7615,11.65,13.11,8,31,51,198,1970-01-21 07:15:12.336,1970-01-21 07:15:59.520,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-08-03,28.419999999999998,32.839999999999996,24.58,33.82,39.64,29.78,0.4,0.4,0.0,2.0,80.0,13.580000000000002,33.28,23.875999999999998,1000.9799999999999,90.4,24.380000000000003,0.0,5.202,21.8537,106.7615,12.01,13.09,8,31,51,189,1970-01-21 07:16:38.748,1970-01-21 07:17:25.872,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-08-04,27.880000000000003,32.9,24.4,33.3,39.02,29.380000000000003,7.32,7.32,0.0,6.6,81.8,11.26,28.939999999999998,21.168,1000.9200000000001,100.0,24.160000000000004,0.0,4.642,21.8537,106.7615,10.168,13.072,8,32,63,192,1970-01-21 07:18:05.172,1970-01-21 07:18:52.248,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-08-05,25.5,28.939999999999998,23.919999999999998,31.48,35.519999999999996,29.32,15.219999999999999,15.219999999999999,0.0,13.4,95.2,7.4,19.6,9.168000000000001,1002.82,100.0,24.580000000000002,0.0,1.9300000000000002,21.8537,106.7615,0.8539999999999999,13.059999999999999,8,32,63,57,1970-01-21 07:19:31.608,1970-01-21 07:20:18.600,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-08-06,24.8,27.28,22.84,29.419999999999998,31.18,27.139999999999997,9.540000000000001,9.540000000000001,0.0,15.6,92.6,14.88,37.0,11.198,1004.4,97.0,23.5,0.0,2.248,21.8537,106.7615,3.2439999999999998,13.040000000000001,8,32,61,164,1970-01-21 07:20:58.020,1970-01-21 07:21:44.976,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-08-07,25.54,29.160000000000004,22.78,29.74,33.6,26.78,12.379999999999999,12.379999999999999,0.0,10.4,89.0,15.7,39.519999999999996,12.702,1006.78,98.6,23.48,0.0,2.706,21.8537,106.7615,3.632,13.022,8,32,63,172,1970-01-21 07:22:24.456,1970-01-21 07:23:11.340,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-08-08,26.839999999999996,30.439999999999998,24.1,31.419999999999998,35.72,28.660000000000004,2.48,2.48,0.0,6.0,84.6,16.28,41.68,21.919999999999998,1007.0600000000001,56.6,23.9,0.0,4.458,21.8537,106.7615,11.674000000000001,13.01,8,32,61,188,1970-01-21 07:23:50.868,1970-01-21 07:24:37.692,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-08-09,27.72,31.839999999999996,24.54,32.2,37.08,28.82,0.12,0.12,0.0,1.2,80.2,15.559999999999999,38.6,24.4,1006.0200000000001,73.8,23.66,0.0,5.264,21.8537,106.7615,11.89,12.99,8,32,51,170,1970-01-21 07:25:17.280,1970-01-21 07:26:04.068,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-08-10,27.54,31.559999999999995,24.52,32.46,37.5,29.32,0.96,0.96,0.0,4.4,82.8,13.620000000000001,34.12,23.14,1005.8,90.6,24.14,0.0,4.884,21.8537,106.7615,12.0,12.972,8,32,51,151,1970-01-21 07:26:43.716,1970-01-21 07:27:30.420,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-08-11,27.02,30.96,23.4,31.660000000000004,36.32,27.919999999999998,1.4600000000000002,1.4600000000000002,0.0,5.8,82.4,13.36,33.76,22.486,1005.74,95.6,23.48,0.0,4.692,21.8537,106.7615,12.0,12.959999999999999,8,33,51,163,1970-01-21 07:28:10.128,1970-01-21 07:28:56.772,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-08-12,26.98,31.339999999999996,23.78,31.860000000000003,37.14,28.52,1.28,1.28,0.0,5.8,82.2,11.540000000000001,30.380000000000003,23.128,1006.32,96.8,23.439999999999998,0.0,4.816,21.8537,106.7615,11.562000000000001,12.940000000000001,8,33,53,170,1970-01-21 07:29:36.552,1970-01-21 07:30:23.148,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-08-13,26.96,31.339999999999996,23.56,32.18,37.3,28.439999999999998,0.72,0.72,0.0,3.0,82.0,10.059999999999999,26.96,22.252000000000002,1007.0,94.8,23.28,0.0,4.634,21.8537,106.7615,10.812000000000001,12.919999999999998,8,33,51,191,1970-01-21 07:31:02.988,1970-01-21 07:31:49.500,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-08-14,26.74,31.939999999999998,22.7,32.08,38.0,26.9,8.08,8.08,0.0,8.6,84.0,9.88,26.9,19.492,1005.3,96.6,23.54,0.0,4.082,21.8537,106.7615,10.224,12.904,8,33,63,206,1970-01-21 07:32:29.400,1970-01-21 07:33:15.840,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-08-15,23.34,26.68,21.84,27.54,30.78,25.68,13.66,13.66,0.0,19.0,93.8,10.34,25.119999999999997,9.692,1006.32,98.2,22.2,0.0,1.9420000000000002,21.8537,106.7615,2.8579999999999997,12.89,8,33,63,94,1970-01-21 07:33:55.824,1970-01-21 07:34:42.216,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-08-16,23.68,27.96,21.7,27.8,32.480000000000004,25.52,12.7,12.7,0.0,9.0,91.8,12.36,32.4,16.054000000000002,1008.68,94.0,22.14,0.0,3.0940000000000003,21.8537,106.7615,7.406000000000001,12.87,8,33,63,30,1970-01-21 07:35:22.248,1970-01-21 07:36:08.580,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-08-17,24.919999999999998,29.619999999999997,21.54,28.5,33.78,24.82,2.56,2.56,0.0,6.2,83.6,16.6,45.3,22.458,1008.82,95.2,21.740000000000002,0.0,4.44,21.8537,106.7615,11.676,12.85,8,33,53,30,1970-01-21 07:36:48.660,1970-01-21 07:37:34.920,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-08-18,23.28,26.919999999999998,21.86,26.4,29.919999999999998,24.5,21.36,21.36,0.0,14.4,92.4,18.54,46.6,11.048,1007.2,96.6,21.880000000000003,0.0,2.1239999999999997,21.8537,106.7615,4.2219999999999995,12.830000000000002,8,34,65,25,1970-01-21 07:38:15.084,1970-01-21 07:39:01.260,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-08-19,23.06,25.2,21.619999999999997,26.6,28.880000000000003,24.48,21.939999999999998,21.939999999999998,0.0,16.8,96.0,15.959999999999999,39.44,9.502,1006.32,100.0,22.380000000000003,0.0,1.7280000000000002,21.8537,106.7615,1.6480000000000001,12.812000000000001,8,34,63,209,1970-01-21 07:39:41.508,1970-01-21 07:40:27.636,Hè,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-08-20,24.98,28.839999999999996,22.740000000000002,28.72,32.96,26.380000000000003,3.46,3.46,0.0,8.6,89.4,18.439999999999998,46.92,16.108,1007.8,100.0,23.02,0.0,3.168,21.8537,106.7615,6.62,12.791999999999998,8,34,53,177,1970-01-21 07:41:07.920,1970-01-21 07:41:53.988,Hè,,,
