province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Ninh Bình,Đồng bằng sông Hồng,2025-07-21,27.119999999999997,28.4,26.080000000000002,32.1,34.5,28.26,58.14,58.14,0.0,22.0,91.0,29.28,55.14,3.09,993.86,100.0,25.56,0.0,1.078,20.4191,106.0219,0.0,13.190000000000001,7,30,65,255,1970-01-21 06:57:55.572,1970-01-21 06:58:43.056,Hè,,,
Ninh Bình,Đồng bằng sông Hồng,2025-07-22,26.98,30.359999999999996,25.520000000000003,29.419999999999998,33.98,26.1,65.53999999999999,65.53999999999999,0.0,21.8,87.0,41.8,76.24,12.174000000000001,988.5799999999999,100.0,24.580000000000002,0.0,3.008,20.4191,106.0219,5.5120000000000005,13.180000000000001,7,30,65,10,1970-01-21 06:59:21.996,1970-01-21 07:00:09.432,Hè,,,
Ninh Bình,Đồng bằng sông Hồng,2025-07-23,27.839999999999996,30.98,25.3,33.54,37.82,30.060000000000002,11.66,11.66,0.0,13.2,85.2,15.280000000000001,31.1,19.03,997.5200000000001,99.6,25.080000000000002,0.0,3.976,20.4191,106.0219,10.302,13.168000000000001,7,30,63,117,1970-01-21 07:00:48.420,1970-01-21 07:01:35.820,Hè,,,
Ninh Bình,Đồng bằng sông Hồng,2025-07-24,27.04,29.5,25.060000000000002,33.2,36.64,29.82,21.259999999999998,21.259999999999998,0.0,15.0,91.2,12.459999999999999,23.9,11.32,1000.8399999999999,99.8,25.46,0.0,2.3899999999999997,20.4191,106.0219,3.16,13.152000000000001,7,30,63,31,1970-01-21 07:02:14.832,1970-01-21 07:03:02.196,Hè,,,
Ninh Bình,Đồng bằng sông Hồng,2025-07-25,27.339999999999996,29.98,25.3,33.94,37.980000000000004,30.96,13.459999999999999,13.459999999999999,0.0,16.4,91.4,9.0,24.14,13.969999999999999,1001.4200000000001,100.0,25.74,0.0,2.904,20.4191,106.0219,5.566000000000001,13.14,7,30,63,320,1970-01-21 07:03:41.280,1970-01-21 07:04:28.572,Hè,,,
Ninh Bình,Đồng bằng sông Hồng,2025-07-26,27.72,31.839999999999996,25.48,34.6,40.62,31.52,21.4,21.4,0.0,14.0,89.2,10.78,28.6,19.674,1001.1600000000001,79.4,25.68,0.0,4.0840000000000005,20.4191,106.0219,9.414,13.13,7,30,65,244,1970-01-21 07:05:07.692,1970-01-21 07:05:54.960,Hè,,,
Ninh Bình,Đồng bằng sông Hồng,2025-07-27,27.839999999999996,32.18,25.419999999999998,34.239999999999995,40.1,31.660000000000004,6.0200000000000005,6.0200000000000005,0.0,4.8,88.2,14.040000000000001,29.52,20.125999999999998,1000.5799999999999,86.6,25.56,0.0,4.1339999999999995,20.4191,106.0219,11.114,13.12,7,30,63,167,1970-01-21 07:06:34.104,1970-01-21 07:07:21.324,Hè,,,
Ninh Bình,Đồng bằng sông Hồng,2025-07-28,28.839999999999996,33.56,24.96,35.76,41.8,31.0,0.26,0.26,0.0,1.6,84.2,11.24,22.7,24.345999999999997,999.0600000000001,52.2,25.7,0.0,5.178,20.4191,106.0219,12.024,13.101999999999999,7,31,51,175,1970-01-21 07:08:00.540,1970-01-21 07:08:47.712,Hè,,,
Ninh Bình,Đồng bằng sông Hồng,2025-07-29,30.72,35.42,26.18,37.82,44.339999999999996,32.720000000000006,0.04,0.04,0.0,0.2,78.0,12.0,21.380000000000003,23.997999999999998,997.26,80.6,26.139999999999997,0.0,5.470000000000001,20.4191,106.0219,11.236,13.09,7,31,3,184,1970-01-21 07:09:26.952,1970-01-21 07:10:14.088,Hè,,,
Ninh Bình,Đồng bằng sông Hồng,2025-07-30,31.5,36.18,27.26,38.739999999999995,45.18,33.52,0.3,0.3,0.0,0.8,76.2,12.459999999999999,24.5,23.926,996.9,99.2,26.639999999999997,0.0,5.544,20.4191,106.0219,11.274,13.080000000000002,7,31,51,226,1970-01-21 07:10:53.376,1970-01-21 07:11:40.452,Hè,,,
Ninh Bình,Đồng bằng sông Hồng,2025-07-31,30.22,34.32,28.1,37.26,42.92,34.0,12.84,12.84,0.0,7.8,81.2,11.459999999999999,26.560000000000002,18.796,997.4399999999999,100.0,26.419999999999998,0.0,4.296,20.4191,106.0219,8.181999999999999,13.059999999999999,7,31,63,215,1970-01-21 07:12:19.800,1970-01-21 07:13:06.840,Hè,,,
Ninh Bình,Đồng bằng sông Hồng,2025-08-01,28.139999999999997,31.9,25.919999999999998,34.839999999999996,39.96,31.579999999999995,14.180000000000001,14.180000000000001,0.0,11.8,88.2,12.3,30.9,17.262,998.8,93.6,25.939999999999998,0.0,3.596,20.4191,106.0219,9.303999999999998,13.05,8,31,63,249,1970-01-21 07:13:46.212,1970-01-21 07:14:33.192,Hè,,,
Ninh Bình,Đồng bằng sông Hồng,2025-08-02,29.439999999999998,34.18,25.9,36.94,43.739999999999995,32.38,4.4399999999999995,4.4399999999999995,0.0,4.0,85.8,11.24,26.5,23.19,1000.4200000000001,84.0,26.619999999999997,0.0,4.994,20.4191,106.0219,11.942,13.038,8,31,63,193,1970-01-21 07:15:12.648,1970-01-21 07:15:59.580,Hè,,,
Ninh Bình,Đồng bằng sông Hồng,2025-08-03,31.54,36.08,27.76,37.68,43.14,33.56,0.06,0.06,0.0,0.4,73.6,15.7,32.7,24.116,999.8799999999999,86.8,26.0,0.0,5.958,20.4191,106.0219,12.016,13.02,8,31,3,210,1970-01-21 07:16:39.060,1970-01-21 07:17:25.932,Hè,,,
Ninh Bình,Đồng bằng sông Hồng,2025-08-04,32.08,36.44,28.4,37.64,43.6,32.56,0.5199999999999999,0.5199999999999999,0.0,0.6,67.8,14.86,29.0,24.052,999.64,98.4,25.240000000000002,0.0,6.244,20.4191,106.0219,11.652,13.01,8,32,3,206,1970-01-21 07:18:05.472,1970-01-21 07:18:52.320,Hè,,,
Ninh Bình,Đồng bằng sông Hồng,2025-08-05,30.939999999999998,35.0,27.919999999999998,37.12,41.54,33.17999999999999,1.0,1.0,0.0,2.8,74.0,12.0,26.5,17.422,1001.0799999999999,100.0,25.619999999999997,0.0,4.3420000000000005,20.4191,106.0219,7.51,12.99,8,32,51,223,1970-01-21 07:19:31.920,1970-01-21 07:20:18.672,Hè,,,
Ninh Bình,Đồng bằng sông Hồng,2025-08-06,29.22,32.62,26.78,36.04,39.44,33.22,4.9,4.9,0.0,6.6,85.4,11.82,24.419999999999998,13.886000000000001,1002.86,100.0,26.339999999999996,0.0,3.2,20.4191,106.0219,4.098000000000001,12.98,8,32,53,150,1970-01-21 07:20:58.332,1970-01-21 07:21:45.036,Hè,,,
Ninh Bình,Đồng bằng sông Hồng,2025-08-07,29.48,32.519999999999996,27.060000000000002,35.28,38.44,32.120000000000005,0.14,0.14,0.0,1.0,80.6,12.98,23.74,14.394,1005.3,96.0,25.639999999999997,0.0,3.566,20.4191,106.0219,4.604,12.959999999999999,8,32,51,175,1970-01-21 07:22:24.732,1970-01-21 07:23:11.400,Hè,,,
Ninh Bình,Đồng bằng sông Hồng,2025-08-08,30.6,35.08,26.880000000000003,36.92,42.519999999999996,33.4,0.34,0.34,0.0,1.0,78.4,15.36,28.8,24.34,1005.8,43.2,26.139999999999997,0.0,5.644,20.4191,106.0219,12.0,12.940000000000001,8,32,3,178,1970-01-21 07:23:51.180,1970-01-21 07:24:37.752,Hè,,,
Ninh Bình,Đồng bằng sông Hồng,2025-08-09,31.160000000000004,35.82,27.4,37.56,42.9,33.54,0.1,0.1,0.0,0.4,76.2,13.580000000000002,25.36,24.363999999999997,1004.64,66.4,26.060000000000002,0.0,5.726000000000001,20.4191,106.0219,12.0,12.930000000000001,8,32,3,179,1970-01-21 07:25:17.592,1970-01-21 07:26:04.140,Hè,,,
Ninh Bình,Đồng bằng sông Hồng,2025-08-10,30.78,34.3,28.26,37.84,42.92,35.239999999999995,1.1,1.1,0.0,3.4,80.4,13.440000000000001,26.339999999999996,22.458,1004.0600000000001,81.0,26.9,0.0,5.104,20.4191,106.0219,12.0,12.91,8,32,51,148,1970-01-21 07:26:43.992,1970-01-21 07:27:30.492,Hè,,,
Ninh Bình,Đồng bằng sông Hồng,2025-08-11,29.939999999999998,33.56,26.28,36.72,41.56,33.08,2.12,2.12,0.0,4.8,82.2,15.1,28.880000000000003,23.768,1004.1,87.2,26.46,0.0,5.208,20.4191,106.0219,12.0,12.9,8,33,53,141,1970-01-21 07:28:10.440,1970-01-21 07:28:56.844,Hè,,,
Ninh Bình,Đồng bằng sông Hồng,2025-08-12,29.360000000000003,32.92,25.72,35.94,40.62,31.560000000000002,2.7600000000000002,2.7600000000000002,0.0,8.8,83.2,14.12,29.380000000000003,23.096,1004.8799999999999,89.4,26.1,0.0,4.934,20.4191,106.0219,12.0,12.88,8,33,51,159,1970-01-21 07:29:36.840,1970-01-21 07:30:23.220,Hè,,,
