province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Quảng Trị,Bắc Trung Bộ,2025-07-21,27.12222222222222,28.522222222222222,25.788888888888888,28.755555555555556,31.82222222222222,26.077777777777776,5.344444444444444,5.344444444444444,0.0,17.444444444444443,76.44444444444444,33.94444444444444,67.83333333333333,6.220000000000001,997.0999999999999,100.0,22.544444444444444,0.0,3.0411111111111113,17.1046,106.8916,0.0,13.0,7,30,53,244,1970-01-21 06:57:55.706666666,1970-01-21 06:58:42.500000000,Hè,,,
Quảng Trị,Bắc Trung Bộ,2025-07-22,27.255555555555556,28.688888888888886,26.066666666666666,27.933333333333334,30.5,24.72222222222222,5.055555555555555,5.055555555555555,0.0,15.555555555555555,72.77777777777777,43.03333333333333,86.0,9.122222222222222,995.7888888888889,100.0,21.866666666666667,0.0,3.994444444444445,17.1046,106.8916,1.98,12.99,7,30,53,222,1970-01-21 06:59:22.133333333,1970-01-21 07:00:08.893333333,Hè,,,
Quảng Trị,Bắc Trung Bộ,2025-07-23,27.922222222222224,30.533333333333335,26.066666666666666,30.833333333333332,33.666666666666664,27.677777777777777,4.0,4.0,0.0,11.777777777777779,74.11111111111111,25.91111111111111,56.599999999999994,13.96888888888889,999.9555555555556,99.88888888888889,22.744444444444444,0.0,4.051111111111111,17.1046,106.8916,6.407777777777778,12.98,7,30,61,210,1970-01-21 07:00:48.546666666,1970-01-21 07:01:35.286666666,Hè,,,
Quảng Trị,Bắc Trung Bộ,2025-07-24,27.555555555555557,30.666666666666668,24.822222222222223,30.72222222222222,33.24444444444444,27.544444444444444,3.411111111111111,3.411111111111111,0.0,7.555555555555555,76.88888888888889,23.299999999999997,50.666666666666664,13.466666666666667,1002.0333333333333,100.0,22.933333333333334,0.0,3.7022222222222223,17.1046,106.8916,5.837777777777777,12.97,7,30,61,238,1970-01-21 07:02:14.966666666,1970-01-21 07:03:01.666666666,Hè,,,
Quảng Trị,Bắc Trung Bộ,2025-07-25,27.11111111111111,31.866666666666667,23.666666666666668,30.72222222222222,35.077777777777776,26.633333333333333,26.444444444444443,26.444444444444443,0.0,11.222222222222221,79.33333333333333,21.333333333333332,48.166666666666664,17.538888888888888,1002.7444444444445,99.88888888888889,22.91111111111111,0.0,4.204444444444444,17.1046,106.8916,7.881111111111112,12.96,7,30,63,248,1970-01-21 07:03:41.393333333,1970-01-21 07:04:28.040000000,Hè,,,
Quảng Trị,Bắc Trung Bộ,2025-07-26,27.27777777777778,30.255555555555556,24.844444444444445,30.43333333333333,33.78888888888889,27.4,2.011111111111111,2.011111111111111,0.0,4.888888888888889,78.33333333333333,22.844444444444445,50.78888888888889,18.154444444444444,1002.5111111111112,93.88888888888889,23.055555555555557,0.0,4.3533333333333335,17.1046,106.8916,9.77888888888889,12.95,7,30,53,247,1970-01-21 07:05:07.806666666,1970-01-21 07:05:54.426666666,Hè,,,
Quảng Trị,Bắc Trung Bộ,2025-07-27,26.844444444444445,29.622222222222224,25.022222222222222,30.022222222222222,33.3,27.066666666666666,8.18888888888889,8.18888888888889,0.0,9.222222222222221,80.33333333333333,22.677777777777777,46.46666666666667,13.724444444444444,1002.0555555555555,97.0,23.066666666666666,0.0,3.4611111111111112,17.1046,106.8916,7.736666666666666,12.94,7,30,63,237,1970-01-21 07:06:34.220000000,1970-01-21 07:07:20.813333333,Hè,,,
Quảng Trị,Bắc Trung Bộ,2025-07-28,27.12222222222222,31.67777777777778,24.444444444444443,31.077777777777776,35.43333333333333,28.022222222222222,18.633333333333333,18.633333333333333,0.0,13.444444444444445,82.11111111111111,21.566666666666666,46.87777777777777,16.194444444444443,1001.2222222222222,96.88888888888889,23.6,0.0,3.7622222222222224,17.1046,106.8916,7.876666666666667,12.93,7,31,63,197,1970-01-21 07:08:00.653333333,1970-01-21 07:08:47.180000000,Hè,,,
Quảng Trị,Bắc Trung Bộ,2025-07-29,28.444444444444443,32.05555555555556,25.577777777777776,31.78888888888889,36.577777777777776,27.833333333333332,2.4222222222222225,2.4222222222222225,0.0,10.0,76.55555555555556,26.788888888888888,56.077777777777776,17.325555555555557,1000.2111111111111,95.44444444444444,23.766666666666666,0.0,4.594444444444445,17.1046,106.8916,8.617777777777778,12.918888888888889,7,31,53,240,1970-01-21 07:09:27.053333333,1970-01-21 07:10:13.566666666,Hè,,,
Quảng Trị,Bắc Trung Bộ,2025-07-30,28.666666666666668,31.06666666666667,27.366666666666667,30.966666666666665,33.333333333333336,29.233333333333334,0.43333333333333335,0.43333333333333335,0.0,3.5555555555555554,72.88888888888889,33.233333333333334,69.27777777777777,18.525555555555556,1000.311111111111,95.44444444444444,23.233333333333334,0.0,5.122222222222223,17.1046,106.8916,9.07888888888889,12.908888888888889,7,31,3,225,1970-01-21 07:10:53.480000000,1970-01-21 07:11:39.946666666,Hè,,,
