province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Tây Ninh,Đông Nam Bộ,2025-07-21,27.360000000000003,31.119999999999997,24.72,31.080000000000002,35.2,28.439999999999998,5.220000000000001,5.220000000000001,0.0,17.4,83.4,26.28,57.6,16.352,1005.96,100.0,24.22,0.0,3.7640000000000002,11.0154,106.1765,5.744,12.672,7,30,55,238,1970-01-21 06:57:56.460,1970-01-21 06:58:42.072,Hè,,,
Tây Ninh,Đông Nam Bộ,2025-07-22,28.7,32.78,25.119999999999997,32.22,35.6,29.639999999999997,1.1199999999999999,1.1199999999999999,0.0,5.6,75.4,29.18,58.54,21.602,1005.1200000000001,100.0,23.619999999999997,0.0,5.306,11.0154,106.1765,11.572,12.67,7,30,51,237,1970-01-21 06:59:22.872,1970-01-21 07:00:08.472,Hè,,,
Tây Ninh,Đông Nam Bộ,2025-07-23,28.48,32.019999999999996,25.860000000000003,32.96,36.88,30.22,8.879999999999999,8.879999999999999,0.0,7.6,78.2,20.68,48.959999999999994,18.688,1004.9,93.8,24.3,0.0,4.31,11.0154,106.1765,9.398,12.66,7,30,63,234,1970-01-21 07:00:49.272,1970-01-21 07:01:34.872,Hè,,,
Tây Ninh,Đông Nam Bộ,2025-07-24,29.080000000000002,32.68,25.8,33.519999999999996,37.08,30.9,0.12,0.12,0.0,1.0,73.8,17.22,39.52,17.458,1005.9,98.4,23.72,0.0,4.364,11.0154,106.1765,9.712,12.66,7,30,51,249,1970-01-21 07:02:15.708,1970-01-21 07:03:01.260,Hè,,,
Tây Ninh,Đông Nam Bộ,2025-07-25,28.839999999999996,33.38,25.06,33.32,37.4,29.46,5.9399999999999995,5.9399999999999995,0.0,3.6,74.6,20.759999999999998,40.9,22.314,1006.14,93.0,23.6,0.0,5.226,11.0154,106.1765,11.379999999999999,12.65,7,30,63,264,1970-01-21 07:03:42.120,1970-01-21 07:04:27.660,Hè,,,
Tây Ninh,Đông Nam Bộ,2025-07-26,28.74,32.7,25.76,33.38,36.44,31.0,0.54,0.54,0.0,2.2,77.4,20.96,42.78,16.51,1006.72,99.6,24.18,0.0,4.1339999999999995,11.0154,106.1765,6.781999999999999,12.64,7,30,51,250,1970-01-21 07:05:08.520,1970-01-21 07:05:54.048,Hè,,,
Tây Ninh,Đông Nam Bộ,2025-07-27,27.580000000000002,31.419999999999998,25.360000000000003,32.08,35.879999999999995,30.0,9.52,9.52,0.0,9.8,84.0,20.82,45.0,16.288,1007.0200000000001,99.0,24.439999999999998,0.0,3.6379999999999995,11.0154,106.1765,6.7620000000000005,12.64,7,30,63,233,1970-01-21 07:06:34.932,1970-01-21 07:07:20.412,Hè,,,
Tây Ninh,Đông Nam Bộ,2025-07-28,27.119999999999997,29.98,24.78,31.360000000000003,33.96,29.580000000000002,6.1,6.1,0.0,6.6,86.0,23.880000000000003,49.519999999999996,16.035999999999998,1006.6200000000001,91.2,24.5,0.0,3.418,11.0154,106.1765,9.642,12.63,7,31,61,218,1970-01-21 07:08:01.332,1970-01-21 07:08:46.812,Hè,,,
Tây Ninh,Đông Nam Bộ,2025-07-29,28.3,32.06,25.56,32.760000000000005,36.6,30.580000000000002,6.82,6.82,0.0,7.2,81.0,24.4,52.260000000000005,19.802,1006.4200000000001,71.8,24.6,0.0,4.458,11.0154,106.1765,11.698,12.62,7,31,63,225,1970-01-21 07:09:27.756,1970-01-21 07:10:13.200,Hè,,,
Tây Ninh,Đông Nam Bộ,2025-07-30,29.119999999999997,33.12,26.2,33.28,37.46,31.0,0.74,0.74,0.0,3.4,75.6,23.22,45.58,20.832,1007.26,93.0,24.080000000000002,0.0,5.07,11.0154,106.1765,11.128,12.62,7,31,51,234,1970-01-21 07:10:54.180,1970-01-21 07:11:39.600,Hè,,,
