province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Vĩnh Long,Đồng bằng sông Cửu Long,2025-07-21,27.439999999999998,31.639999999999997,24.759999999999998,31.439999999999998,35.62,28.619999999999997,3.6,3.6,0.0,10.8,82.6,27.919999999999998,62.8,18.646,1006.4,100.0,24.080000000000002,0.0,4.128,10.1436,106.2249,8.22,12.63,7,30,53,247,1970-01-21 06:57:56.520,1970-01-21 06:58:42.000,Hè,,,
Vĩnh Long,Đồng bằng sông Cửu Long,2025-07-22,28.360000000000003,32.14,25.7,32.3,35.54,30.18,0.52,0.52,0.0,2.6,77.8,26.660000000000004,56.379999999999995,22.734,1005.6,98.8,23.88,0.0,5.16,10.1436,106.2249,11.834,12.622,7,30,51,240,1970-01-21 06:59:22.944,1970-01-21 07:00:08.400,Hè,,,
Vĩnh Long,Đồng bằng sông Cửu Long,2025-07-23,28.52,31.939999999999998,25.68,32.92,36.839999999999996,30.24,0.72,0.72,0.0,2.8,77.6,20.72,49.519999999999996,21.952,1005.1600000000001,92.8,24.119999999999997,0.0,4.914,10.1436,106.2249,11.898,12.62,7,30,51,242,1970-01-21 07:00:49.344,1970-01-21 07:01:34.776,Hè,,,
Vĩnh Long,Đồng bằng sông Cửu Long,2025-07-24,28.5,32.28,25.56,33.12,37.040000000000006,30.619999999999997,0.42000000000000004,0.42000000000000004,0.0,1.6,78.8,20.380000000000003,41.82,21.302,1006.22,95.8,24.22,0.0,4.798,10.1436,106.2249,11.424,12.61,7,30,51,251,1970-01-21 07:02:15.768,1970-01-21 07:03:01.164,Hè,,,
Vĩnh Long,Đồng bằng sông Cửu Long,2025-07-25,28.6,32.06,25.580000000000002,33.120000000000005,37.44,30.02,2.5599999999999996,2.5599999999999996,0.0,3.6,78.4,20.080000000000002,43.839999999999996,23.204,1006.4799999999999,84.4,24.279999999999998,0.0,5.1899999999999995,10.1436,106.2249,12.0,12.61,7,30,51,261,1970-01-21 07:03:42.180,1970-01-21 07:04:27.564,Hè,,,
Vĩnh Long,Đồng bằng sông Cửu Long,2025-07-26,28.560000000000002,31.5,26.48,33.22,36.86,31.02,4.54,4.54,0.0,5.0,79.6,20.580000000000002,47.8,19.092000000000002,1007.1,95.0,24.619999999999997,0.0,4.366,10.1436,106.2249,9.95,12.6,7,30,63,253,1970-01-21 07:05:08.580,1970-01-21 07:05:53.952,Hè,,,
Vĩnh Long,Đồng bằng sông Cửu Long,2025-07-27,26.98,30.22,25.22,31.619999999999997,35.160000000000004,29.880000000000003,10.0,10.0,0.0,9.2,87.0,20.34,46.160000000000004,15.357999999999999,1007.5,99.6,24.6,0.0,3.2,10.1436,106.2249,7.336,12.6,7,30,63,236,1970-01-21 07:06:35.004,1970-01-21 07:07:20.340,Hè,,,
Vĩnh Long,Đồng bằng sông Cửu Long,2025-07-28,26.52,28.619999999999997,24.919999999999998,31.4,34.14,28.919999999999998,7.220000000000001,7.220000000000001,0.0,11.2,90.6,19.24,41.46,12.968,1007.1,92.6,24.8,0.0,2.554,10.1436,106.2249,6.6,12.59,7,31,63,230,1970-01-21 07:08:01.404,1970-01-21 07:08:46.740,Hè,,,
Vĩnh Long,Đồng bằng sông Cửu Long,2025-07-29,28.02,31.3,25.7,32.980000000000004,36.42,30.8,6.540000000000001,6.540000000000001,0.0,9.0,83.8,21.78,48.62,20.442,1006.8,74.2,24.919999999999998,0.0,4.288,10.1436,106.2249,11.772,12.58,7,31,61,227,1970-01-21 07:09:27.804,1970-01-21 07:10:13.104,Hè,,,
Vĩnh Long,Đồng bằng sông Cửu Long,2025-07-30,28.080000000000002,31.32,25.6,32.94,37.660000000000004,30.1,2.68,2.68,0.0,7.2,82.2,19.18,47.14,21.498,1007.8,88.6,24.68,0.0,4.514,10.1436,106.2249,11.928,12.58,7,31,61,243,1970-01-21 07:10:54.228,1970-01-21 07:11:39.504,Hè,,,
Vĩnh Long,Đồng bằng sông Cửu Long,2025-07-31,27.68,30.74,25.72,32.96,37.019999999999996,30.32,7.639999999999999,7.639999999999999,0.0,7.4,85.8,17.9,46.28,20.834,1007.8,84.4,25.060000000000002,0.0,4.162000000000001,10.1436,106.2249,11.74,12.57,7,31,63,229,1970-01-21 07:12:20.640,1970-01-21 07:13:05.880,Hè,,,
Vĩnh Long,Đồng bằng sông Cửu Long,2025-08-01,28.060000000000002,31.580000000000002,25.660000000000004,33.56,38.019999999999996,30.76,3.02,3.02,0.0,6.2,85.6,17.04,40.82,21.445999999999998,1007.04,92.4,25.28,0.0,4.368,10.1436,106.2249,12.0,12.56,8,31,61,227,1970-01-21 07:13:47.040,1970-01-21 07:14:32.280,Hè,,,
