province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Điện Biên,Trung du miền núi Bắc Bộ,2025-07-21,23.91111111111111,28.022222222222222,21.444444444444443,28.355555555555554,32.71111111111111,25.322222222222223,25.188888888888886,25.188888888888886,0.0,19.666666666666668,92.22222222222223,10.600000000000001,31.833333333333332,13.782222222222222,1000.5333333333333,99.88888888888889,22.5,0.0,2.752222222222222,21.386,103.023,4.195555555555555,13.245555555555557,7,30,63,198,1970-01-21 06:57:56.193333333,1970-01-21 06:58:43.873333333,Hè,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-07-22,23.822222222222223,27.522222222222222,22.211111111111112,28.788888888888884,33.56666666666667,26.566666666666666,56.044444444444444,56.044444444444444,0.0,23.333333333333332,96.0,7.844444444444444,28.766666666666666,11.776666666666667,996.9444444444445,100.0,23.066666666666666,0.0,2.3822222222222225,21.386,103.023,3.651111111111111,13.231111111111112,7,30,65,144,1970-01-21 06:59:22.626666666,1970-01-21 07:00:10.253333333,Hè,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-07-23,23.72222222222222,27.188888888888886,21.533333333333335,27.855555555555554,31.099999999999998,25.444444444444443,11.966666666666667,11.966666666666667,0.0,15.333333333333334,91.44444444444444,16.1,44.87777777777777,15.087777777777777,998.4777777777776,100.0,22.11111111111111,0.0,2.977777777777778,21.386,103.023,7.3999999999999995,13.22,7,30,61,99,1970-01-21 07:00:49.033333333,1970-01-21 07:01:36.633333333,Hè,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-07-24,23.577777777777776,27.1,21.700000000000003,27.87777777777778,31.27777777777778,25.933333333333334,16.522222222222222,16.522222222222222,0.0,17.11111111111111,91.22222222222223,9.477777777777778,26.866666666666667,14.304444444444446,1003.2333333333333,99.44444444444444,21.966666666666665,0.0,2.851111111111111,21.386,103.023,5.801111111111111,13.208888888888888,7,30,63,153,1970-01-21 07:02:15.466666666,1970-01-21 07:03:03.013333333,Hè,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-07-25,23.0,25.555555555555557,21.444444444444443,27.244444444444444,30.144444444444446,25.27777777777778,13.033333333333333,13.033333333333333,0.0,20.0,94.44444444444444,9.38888888888889,28.044444444444444,11.338888888888889,1004.8000000000001,100.0,22.01111111111111,0.0,2.2133333333333334,21.386,103.023,2.967777777777778,13.197777777777778,7,30,63,190,1970-01-21 07:03:41.886666666,1970-01-21 07:04:29.393333333,Hè,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-07-26,22.37777777777778,25.22222222222222,21.044444444444444,26.58888888888889,29.61111111111111,24.822222222222223,31.444444444444443,31.444444444444443,0.0,23.88888888888889,96.11111111111111,7.677777777777777,24.62222222222222,8.984444444444444,1004.8555555555556,100.0,21.711111111111112,0.0,1.801111111111111,21.386,103.023,0.3188888888888889,13.181111111111111,7,30,63,137,1970-01-21 07:05:08.313333333,1970-01-21 07:05:55.773333333,Hè,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-07-27,22.633333333333333,26.033333333333335,20.755555555555556,27.077777777777776,31.0,24.5,31.244444444444444,31.244444444444444,0.0,23.333333333333332,95.0,6.7,22.27777777777778,12.737777777777778,1003.9555555555556,99.77777777777777,21.733333333333334,0.0,2.522222222222222,21.386,103.023,3.807777777777778,13.17,7,30,63,172,1970-01-21 07:06:34.740000000,1970-01-21 07:07:22.146666666,Hè,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-07-28,24.11111111111111,28.91111111111111,21.11111111111111,28.666666666666668,34.75555555555556,25.188888888888886,2.977777777777778,2.977777777777778,0.0,8.777777777777779,88.11111111111111,8.044444444444444,21.866666666666667,19.484444444444442,1002.7777777777778,67.77777777777777,21.866666666666667,0.0,3.934444444444444,21.386,103.023,9.592222222222222,13.157777777777778,7,31,51,182,1970-01-21 07:08:01.153333333,1970-01-21 07:08:48.520000000,Hè,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-07-29,25.366666666666667,30.15555555555555,21.12222222222222,30.06666666666667,36.833333333333336,24.922222222222224,0.8,0.8,0.0,5.666666666666667,83.55555555555556,8.588888888888889,23.08888888888889,23.065555555555555,1001.9222222222221,63.0,22.155555555555555,0.0,4.76,21.386,103.023,11.49,13.14,7,31,51,196,1970-01-21 07:09:27.580000000,1970-01-21 07:10:14.893333333,Hè,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-07-30,24.9,28.733333333333334,21.98888888888889,29.311111111111114,33.27777777777778,26.22222222222222,6.177777777777778,6.177777777777778,0.0,11.555555555555555,87.66666666666667,10.766666666666667,30.444444444444443,17.39888888888889,1002.6444444444444,97.0,22.58888888888889,0.0,3.5,21.386,103.023,9.488888888888889,13.128888888888888,7,31,61,198,1970-01-21 07:10:54.006666666,1970-01-21 07:11:41.266666666,Hè,,,
