province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-07-21,30.3,32.82,28.380000000000003,33.019999999999996,35.67999999999999,30.18,0.1,0.1,0.0,1.0,61.6,21.02,46.42,15.948000000000002,997.9399999999999,100.0,22.0,0.0,5.326,15.796899999999999,108.1106,5.518,12.930000000000001,7,30,3,230,1970-01-21 06:57:55.536,1970-01-21 06:58:42.072,Hè,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-07-22,30.139999999999997,32.760000000000005,27.72,33.3,35.739999999999995,30.54,0.16,0.16,0.0,1.2,62.6,19.82,47.24,12.047999999999998,998.46,100.0,22.14,0.0,4.272,15.796899999999999,108.1106,5.078,12.919999999999998,7,30,51,204,1970-01-21 06:59:21.960,1970-01-21 07:00:08.460,Hè,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-07-23,30.060000000000002,34.18,26.72,34.88,39.22,30.82,0.36,0.36,0.0,1.8,69.0,14.36,40.6,20.137999999999998,1000.9200000000001,100.0,23.44,0.0,4.954,15.796899999999999,108.1106,10.552,12.91,7,30,51,225,1970-01-21 07:00:48.372,1970-01-21 07:01:34.860,Hè,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-07-24,28.98,32.82,26.160000000000004,33.760000000000005,36.86,30.419999999999998,1.64,1.64,0.0,3.2,73.4,14.039999999999997,37.86,13.912,1002.5799999999999,100.0,23.52,0.0,3.5620000000000003,15.796899999999999,108.1106,4.898000000000001,12.9,7,30,53,247,1970-01-21 07:02:14.796,1970-01-21 07:03:01.236,Hè,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-07-25,27.24,30.360000000000003,24.96,32.56,35.56,29.98,9.319999999999999,9.319999999999999,0.0,10.4,82.6,9.74,30.119999999999997,9.556000000000001,1003.0800000000002,99.6,23.88,0.0,2.304,15.796899999999999,108.1106,1.952,12.89,7,30,61,164,1970-01-21 07:03:41.208,1970-01-21 07:04:27.624,Hè,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-07-26,26.919999999999998,30.54,24.68,32.88,37.18,29.619999999999997,17.1,17.1,0.0,12.0,88.6,10.1,29.74,12.426,1003.14,93.4,24.82,0.0,2.62,15.796899999999999,108.1106,5.358,12.88,7,30,63,215,1970-01-21 07:05:07.620,1970-01-21 07:05:54.000,Hè,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-07-27,27.639999999999997,31.939999999999998,24.82,32.9,37.2,29.880000000000003,4.659999999999999,4.659999999999999,0.0,5.4,82.2,15.059999999999999,35.64,15.074000000000002,1002.74,98.0,24.16,0.0,3.444,15.796899999999999,108.1106,7.140000000000001,12.87,7,30,53,223,1970-01-21 07:06:34.032,1970-01-21 07:07:20.388,Hè,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-07-28,29.0,34.14,24.94,34.06,39.3,29.6,0.08,0.08,0.0,0.6,74.2,15.940000000000001,36.3,22.068,1001.8,94.8,23.66,0.0,5.0840000000000005,15.796899999999999,108.1106,10.874,12.86,7,31,3,233,1970-01-21 07:08:00.456,1970-01-21 07:08:46.776,Hè,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-07-29,30.28,35.2,26.360000000000003,35.14,40.22,31.24,1.7399999999999998,1.7399999999999998,0.0,2.6,69.8,16.759999999999998,40.88,22.674,1001.0200000000001,99.8,23.82,0.0,5.622,15.796899999999999,108.1106,11.388,12.85,7,31,51,233,1970-01-21 07:09:26.880,1970-01-21 07:10:13.140,Hè,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-07-30,29.26,33.0,26.7,33.68,37.38,31.479999999999997,2.2800000000000002,2.2800000000000002,0.0,7.2,72.4,17.32,40.08,14.356,1001.36,99.6,23.619999999999997,0.0,3.9240000000000004,15.796899999999999,108.1106,4.9399999999999995,12.84,7,31,53,218,1970-01-21 07:10:53.280,1970-01-21 07:11:39.528,Hè,,,
